st = 00: ii = 10.00, i! =  1.00, i- = 10.00, !i =  8.00, !! =  9.00, !- =  8.00, -i = 14.00, -! = 21.00, -- = 19.00, == =  38.00:  gi   27.0  g!   -6.7
st = 01: ii =  6.00, i! = 17.00, i- = 11.00, !i = 10.00, !! =  7.00, !- = 10.00, -i = 14.00, -! = 14.00, -- = 11.00, == =  24.00:  gi  -43.1  g!  -23.5
st = 02: ii = 13.00, i! = 12.00, i- =  9.00, !i = 11.00, !! =  7.00, !- =  3.00, -i = 17.00, -! = 18.00, -- = 10.00, == =  30.00:  gi   -5.9  g!  -23.8
st = 03: ii =  1.00, i! =  0.00, i- =  7.00, !i =  1.00, !! =  1.00, !- =  7.00, -i =  5.00, -! = 10.00, -- = 68.00, == =  70.00:  gi  -16.7  g!  -25.9
st = 04: ii =  3.00, i! =  3.00, i- = 13.00, !i =  1.00, !! =  2.00, !- =  9.00, -i = 12.00, -! =  9.00, -- = 48.00, == =  53.00:  gi  -22.8  g!  -16.7
st = 05: ii = 18.00, i! = 25.00, i- =  7.00, !i = 19.00, !! = 16.00, !- =  4.00, -i =  4.00, -! =  7.00, -- =  0.00, == =  34.00:  gi  -18.7  g!  -11.1
st = 06: ii =  8.00, i! = 10.00, i- = 15.00, !i =  9.00, !! = 13.00, !- = 17.00, -i =  9.00, -! =  7.00, -- = 12.00, == =  33.00:  gi  -21.2  g!   -4.3
st = 07: ii = 12.00, i! =  4.00, i- = 18.00, !i =  5.00, !! =  4.00, !- =  4.00, -i =  9.00, -! = 13.00, -- = 31.00, == =  47.00:  gi    5.9  g!  -17.9
st = 08: ii =  3.00, i! =  1.00, i- =  8.00, !i =  1.00, !! =  3.00, !- =  9.00, -i = 11.00, -! = 14.00, -- = 50.00, == =  56.00:  gi   -5.6  g!   -7.7
st = 09: ii =  0.00, i! =  1.00, i- =  5.00, !i =  1.00, !! =  1.00, !- =  8.00, -i = 11.00, -! = 12.00, -- = 61.00, == =  62.00:  gi  -44.4  g!  -26.7
st = 10: ii = 10.00, i! = 16.00, i- =  7.00, !i = 14.00, !! = 10.00, !- =  5.00, -i = 16.00, -! = 12.00, -- = 10.00, == =  30.00:  gi  -25.3  g!  -19.5
st = 11: ii = 21.00, i! = 21.00, i- =  8.00, !i = 23.00, !! = 16.00, !- =  4.00, -i =  4.00, -! =  2.00, -- =  1.00, == =  38.00:  gi   -5.3  g!  -19.4
