st = 00: ii =  9.00, i! =  7.00, i- = 14.00, !i = 10.00, !! =  9.00, !- = 13.00, -i = 11.00, -! = 15.00, -- = 12.00, == =  30.00:  gi   -8.9  g!  -16.7  buy_sell_count =  5, sell_buy_count =  4, capital = 49988.66
st = 01: ii = 11.00, i! = 12.00, i- =  9.00, !i =  3.00, !! =  6.00, !- = 16.00, -i = 12.00, -! = 14.00, -- = 17.00, == =  34.00:  gi  -12.5  g!   -9.3  buy_sell_count =  1, sell_buy_count =  0, capital = 49995.10
st = 02: ii = 19.00, i! =  8.00, i- = 13.00, !i = 15.00, !! = 11.00, !- =  6.00, -i =  9.00, -! = 13.00, -- =  6.00, == =  36.00:  gi   16.7  g!  -18.8  buy_sell_count = 15, sell_buy_count =  7, capital = 50216.21
st = 03: ii =  2.00, i! =  5.00, i- = 15.00, !i =  5.00, !! =  6.00, !- =  5.00, -i = 13.00, -! =  8.00, -- = 41.00, == =  49.00:  gi  -36.4  g!   -4.2  buy_sell_count =  0, sell_buy_count =  4, capital = 49928.32
st = 04: ii =  2.00, i! =  5.00, i- = 13.00, !i =  4.00, !! =  4.00, !- = 12.00, -i = 15.00, -! = 13.00, -- = 32.00, == =  38.00:  gi  -36.7  g!  -20.0  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
st = 05: ii = 23.00, i! = 20.00, i- =  8.00, !i = 22.00, !! = 14.00, !- =  5.00, -i =  4.00, -! =  3.00, -- =  1.00, == =  38.00:  gi    0.7  g!  -23.6  buy_sell_count =  3, sell_buy_count =  0, capital = 49943.58
st = 06: ii = 15.00, i! = 16.00, i- = 16.00, !i = 10.00, !! =  6.00, !- =  8.00, -i =  8.00, -! = 11.00, -- = 10.00, == =  31.00:  gi  -13.5  g!  -27.8  buy_sell_count =  3, sell_buy_count =  2, capital = 49858.58
st = 07: ii =  6.00, i! =  9.00, i- =  9.00, !i =  7.00, !! =  5.00, !- = 10.00, -i = 16.00, -! = 17.00, -- = 21.00, == =  32.00:  gi  -25.0  g!  -24.2  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
st = 08: ii =  1.00, i! =  1.00, i- = 10.00, !i =  2.00, !! =  1.00, !- =  7.00, -i =  8.00, -! =  9.00, -- = 61.00, == =  63.00:  gi  -27.8  g!  -33.3  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
st = 09: ii =  1.00, i! =  3.00, i- =  8.00, !i =  4.00, !! =  7.00, !- = 11.00, -i = 17.00, -! =  9.00, -- = 40.00, == =  48.00:  gi  -38.9  g!   -3.0  buy_sell_count =  0, sell_buy_count =  3, capital = 49933.37
st = 10: ii =  4.00, i! = 12.00, i- = 11.00, !i = 17.00, !! = 13.00, !- =  9.00, -i = 14.00, -! = 10.00, -- = 10.00, == =  27.00:  gi  -43.2  g!  -17.9  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
st = 11: ii = 15.00, i! = 19.00, i- =  4.00, !i = 25.00, !! = 22.00, !- =  4.00, -i =  4.00, -! =  5.00, -- =  2.00, == =  39.00:  gi  -14.0  g!   -8.5  buy_sell_count =  0, sell_buy_count =  2, capital = 49925.57
st = 12: ii =  8.00, i! =  5.00, i- =  8.00, !i =  6.00, !! =  8.00, !- = 18.00, -i = 12.00, -! =  9.00, -- = 26.00, == =  42.00:  gi    1.6  g!  -12.5  buy_sell_count =  0, sell_buy_count =  2, capital = 49918.46
st = 13: ii =  4.00, i! =  8.00, i- = 14.00, !i =  3.00, !! =  5.00, !- =  9.00, -i = 15.00, -! = 10.00, -- = 32.00, == =  41.00:  gi  -33.3  g!   -5.9  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
st = 14: ii =  5.00, i! =  9.00, i- = 10.00, !i =  5.00, !! =  3.00, !- = 12.00, -i = 12.00, -! = 13.00, -- = 31.00, == =  39.00:  gi  -30.6  g!  -30.0  buy_sell_count =  0, sell_buy_count =  0, capital = 50000.00
