id; time; WIN<qty=25>; WIN<result=R$>; IND<qty=5>; IND<result=R$>; WDO<qty=6>; WDO<result=R$>; DOL<qty=5>; DOL<result=R$>;
0; 2016-03-01 10:00:09.651 BRT; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000; 0.000000;
1; 2016-03-01 10:01:13.798 BRT; 0.000114; 25.000000; -0.000052; -11.500000; -0.000149; -36.000000; -0.000161; -161.500000;
2; 2016-03-01 10:02:17.840 BRT; -0.000778; -171.000000; -0.000734; -161.500000; -0.000149; -36.000000; -0.000285; -286.500000;
3; 2016-03-01 10:03:21.955 BRT; -0.000332; -73.000000; -0.000394; -86.500000; 0.000099; 24.000000; 0.000088; 88.500000;
4; 2016-03-01 10:04:26.700 BRT; 0.000464; 102.000000; 0.000289; 63.500000; 0.000597; 144.000000; 0.000337; 338.500000;
5; 2016-03-01 10:05:30.880 BRT; -0.001323; -291.000000; -0.001416; -311.500000; -0.000646; -156.000000; -0.000657; -661.500000;
6; 2016-03-01 10:06:34.100 BRT; -0.000683; -150.000000; -0.000849; -186.500000; -0.000046; -11.000000; -0.000161; -161.500000;
7; 2016-03-01 10:07:38.110 BRT; 0.001825; 401.000000; 0.001654; 363.500000; -0.000273; -66.000000; -0.000161; -161.500000;
8; 2016-03-01 10:08:42.185 BRT; -0.000949; -209.000000; -0.001074; -236.500000; 0.000389; 94.000000; 0.000461; 463.500000;
9; 2016-03-01 10:09:46.221 BRT; -0.000159; -35.000000; -0.000166; -36.500000; 0.000596; 144.000000; 0.000585; 588.500000;
10; 2016-03-01 10:10:50.250 BRT; -0.000845; -186.000000; -0.001075; -236.500000; -0.000025; -6.000000; -0.000160; -161.500000;
11; 2016-03-01 10:11:54.263 BRT; -0.002705; -595.000000; -0.002893; -636.500000; 0.001113; 269.000000; 0.001081; 1088.500000;
12; 2016-03-01 10:12:58.288 BRT; -0.000533; -117.000000; -0.000736; -161.500000; 0.000843; 204.000000; 0.000707; 713.500000;
13; 2016-03-01 10:14:02.323 BRT; 0.000428; 94.000000; 0.000289; 63.500000; -0.000891; -216.000000; -0.001026; -1036.500000;
14; 2016-03-01 10:15:06.413 BRT; -0.000337; -74.000000; -0.000394; -86.500000; -0.000396; -96.000000; -0.000532; -536.500000;
15; 2016-03-01 10:16:10.542 BRT; -0.000988; -217.000000; -0.001077; -236.500000; -0.000273; -66.000000; -0.000284; -286.500000;
16; 2016-03-01 10:17:14.563 BRT; 0.000684; 150.000000; 0.000403; 88.500000; 0.000471; 114.000000; 0.000460; 463.500000;
17; 2016-03-01 10:18:18.563 BRT; 0.000983; 216.000000; 0.000858; 188.500000; -0.000768; -186.000000; -0.000903; -911.500000;
18; 2016-03-01 10:19:22.584 BRT; -0.000932; -205.000000; -0.001075; -236.500000; 0.001586; 384.000000; 0.001575; 1588.500000;
19; 2016-03-01 10:20:26.614 BRT; 0.000564; 124.000000; 0.000630; 138.500000; 0.000099; 24.000000; 0.000088; 88.500000;
20; 2016-03-01 10:21:30.712 BRT; 0.000568; 125.000000; 0.000516; 113.500000; 0.000717; 174.000000; 0.000582; 588.500000;
