id; time; WIN<qty=25>; IND<qty=5>; WDO<qty=6>; DOL<qty=5>;
0; 2016-03-03 10:00:09.908 BRT; 0.000000; 0.000000; 0.000000; 0.000000;
1; 2016-03-03 10:01:13.910 BRT; -0.000761; -0.001028; 0.001138; 0.000997;
2; 2016-03-03 10:02:17.920 BRT; 0.000378; 0.000276; 0.000491; 0.000479;
3; 2016-03-03 10:03:21.923 BRT; -0.000726; -0.000810; -0.000779; -0.000941;
4; 2016-03-03 10:04:25.923 BRT; -0.000048; -0.000267; -0.000026; -0.000038;
5; 2016-03-03 10:05:29.978 BRT; -0.002590; -0.002658; 0.000964; 0.000866;
6; 2016-03-03 10:06:33.978 BRT; 0.001032; 0.000930; -0.000413; -0.000554;
7; 2016-03-03 10:07:38.180 BRT; 0.001057; 0.000929; 0.000146; 0.000091;
8; 2016-03-03 10:08:42.180 BRT; -0.001707; -0.001787; -0.000026; -0.000038;
9; 2016-03-03 10:09:46.970 BRT; 0.001749; 0.001581; -0.000047; -0.000167;
10; 2016-03-03 10:10:50.153 BRT; -0.001524; -0.001569; -0.000413; -0.000424;
11; 2016-03-03 10:11:54.180 BRT; -0.000361; -0.000376; -0.000950; -0.001069;
12; 2016-03-03 10:12:58.249 BRT; 0.000282; 0.000276; 0.000232; 0.000220;
13; 2016-03-03 10:14:02.278 BRT; 0.000230; 0.000059; -0.000284; -0.000296;
14; 2016-03-03 10:15:06.298 BRT; 0.000373; 0.000276; 0.000232; 0.000220;
15; 2016-03-03 10:16:10.324 BRT; -0.001193; -0.001459; 0.000963; 0.000736;
16; 2016-03-03 10:17:14.354 BRT; 0.000860; 0.000601; -0.000670; -0.000682;
17; 2016-03-03 10:18:18.434 BRT; 0.000460; 0.000384; -0.000949; -0.001069;
18; 2016-03-03 10:19:22.453 BRT; -0.001140; -0.001241; -0.000026; -0.000038;
19; 2016-03-03 10:20:26.457 BRT; -0.000507; -0.000592; -0.000542; -0.000554;
20; 2016-03-03 10:21:30.501 BRT; -0.000265; -0.000267; -0.000026; -0.000167;
21; 2016-03-03 10:22:34.569 BRT; -0.000468; -0.000484; 0.000103; -0.000038;
22; 2016-03-03 10:23:38.584 BRT; 0.000139; 0.000059; -0.000155; -0.000424;
23; 2016-03-03 10:24:42.620 BRT; 0.000282; 0.000167; 0.000232; 0.000091;
24; 2016-03-03 10:25:46.769 BRT; -0.000338; -0.000483; 0.000619; 0.000607;
25; 2016-03-03 10:26:50.901 BRT; -0.000529; -0.000591; -0.000412; -0.000295;
26; 2016-03-03 10:27:54.901 BRT; -0.000698; -0.000700; -0.000670; -0.000682;
27; 2016-03-03 10:28:58.905 BRT; 0.000108; 0.000167; 0.000404; 0.000478;
28; 2016-03-03 10:30:02.974 BRT; 0.002600; 0.002441; -0.000283; -0.000166;
29; 2016-03-03 10:31:07.700 BRT; -0.001330; -0.001453; -0.000283; -0.000295;
30; 2016-03-03 10:32:11.840 BRT; -0.000359; -0.000482; 0.000489; 0.000478;
31; 2016-03-03 10:33:15.136 BRT; 0.000039; -0.000158; 0.000618; 0.000606;
32; 2016-03-03 10:34:19.149 BRT; -0.001776; -0.001886; -0.001055; -0.001324;
33; 2016-03-03 10:35:23.180 BRT; -0.001471; -0.001456; 0.000854; 0.000735;
34; 2016-03-03 10:36:27.186 BRT; 0.000780; 0.000708; -0.000154; -0.000166;
35; 2016-03-03 10:37:31.213 BRT; -0.000394; -0.000374; -0.000540; -0.000552;
36; 2016-03-03 10:38:35.230 BRT; -0.000679; -0.000807; 0.000746; 0.000734;
37; 2016-03-03 10:39:39.230 BRT; -0.000113; -0.000050; -0.000026; -0.000038;
38; 2016-03-03 10:40:43.230 BRT; 0.000567; 0.000491; -0.000925; -0.000937;
39; 2016-03-03 10:41:47.253 BRT; 0.000549; 0.000383; -0.000412; -0.000552;
40; 2016-03-03 10:42:51.342 BRT; -0.000393; -0.000590; -0.000669; -0.000681;
41; 2016-03-03 10:43:55.354 BRT; 0.000506; 0.000274; -0.000026; -0.000038;
42; 2016-03-03 10:44:59.380 BRT; 0.002007; 0.001893; -0.001055; -0.001324;
43; 2016-03-03 10:46:03.390 BRT; -0.002059; -0.002311; 0.000232; 0.000091;
44; 2016-03-03 10:47:07.423 BRT; -0.000647; -0.000912; -0.000283; -0.000295;
45; 2016-03-03 10:48:11.458 BRT; -0.000980; -0.001129; -0.000412; -0.000424;
46; 2016-03-03 10:49:15.561 BRT; -0.000959; -0.001021; -0.000283; -0.000424;
47; 2016-03-03 10:50:19.605 BRT; -0.000493; -0.000590; -0.000283; -0.000424;
48; 2016-03-03 10:51:23.611 BRT; 0.000813; 0.000815; -0.000283; -0.000424;
49; 2016-03-03 10:52:27.611 BRT; -0.000540; -0.000697; 0.000146; 0.000091;
50; 2016-03-03 10:53:31.731 BRT; 0.000125; -0.000050; -0.000283; -0.000553;
51; 2016-03-03 10:54:35.938 BRT; -0.000773; -0.000913; -0.000283; -0.000295;
52; 2016-03-03 10:55:39.941 BRT; -0.000484; -0.000590; -0.000155; -0.000295;
53; 2016-03-03 10:56:43.943 BRT; 0.000648; 0.000598; 0.000232; 0.000091;
54; 2016-03-03 10:57:47.991 BRT; -0.000781; -0.001021; 0.000361; 0.000349;
55; 2016-03-03 10:58:52.590 BRT; 0.000060; -0.000158; -0.000026; -0.000166;
56; 2016-03-03 10:59:56.980 BRT; 0.000324; 0.000058; 0.000489; 0.000348;
57; 2016-03-03 11:01:00.980 BRT; -0.000647; -0.000912; 0.000231; 0.000220;
58; 2016-03-03 11:02:04.152 BRT; 0.000690; 0.000598; -0.000411; -0.000423;
59; 2016-03-03 11:03:08.221 BRT; -0.000905; -0.001020; -0.000283; -0.000423;
60; 2016-03-03 11:04:12.232 BRT; -0.000267; -0.000481; -0.000026; -0.000038;
61; 2016-03-03 11:05:16.349 BRT; -0.000384; -0.000589; 0.000360; 0.000220;
62; 2016-03-03 11:06:20.389 BRT; -0.000108; -0.000265; -0.000540; -0.000809;
63; 2016-03-03 11:07:24.574 BRT; 0.000073; -0.000157; -0.000561; -0.000680;
64; 2016-03-03 11:08:28.656 BRT; -0.000647; -0.000912; 0.000189; 0.000091;
65; 2016-03-03 11:09:32.803 BRT; 0.000194; -0.000050; 0.000103; 0.000091;
66; 2016-03-03 11:10:36.949 BRT; -0.000211; -0.000373; 0.000488; 0.000477;
67; 2016-03-03 11:11:40.970 BRT; -0.000142; -0.000373; 0.000231; 0.000219;
68; 2016-03-03 11:12:44.978 BRT; -0.000134; -0.000265; -0.000261; -0.000166;
69; 2016-03-03 11:13:48.994 BRT; -0.000233; -0.000480; -0.000539; -0.000551;
70; 2016-03-03 11:14:53.140 BRT; -0.001883; -0.002096; -0.000026; -0.000038;
71; 2016-03-03 11:15:57.300 BRT; -0.000863; -0.001129; -0.000411; -0.000551;
72; 2016-03-03 11:17:01.218 BRT; -0.000190; -0.000374; -0.000283; -0.000294;
73; 2016-03-03 11:18:05.234 BRT; 0.000432; 0.000274; -0.000797; -0.000808;
74; 2016-03-03 11:19:09.381 BRT; -0.000216; -0.000265; 0.000103; -0.000038;
75; 2016-03-03 11:20:13.448 BRT; -0.000108; -0.000265; -0.000026; -0.000038;
76; 2016-03-03 11:21:17.451 BRT; -0.000863; -0.000912; -0.000283; -0.000295;
77; 2016-03-03 11:22:21.495 BRT; -0.000324; -0.000481; 0.000103; -0.000038;
78; 2016-03-03 11:23:25.561 BRT; -0.001782; -0.001991; -0.000411; -0.000552;
79; 2016-03-03 11:24:29.587 BRT; 0.000488; 0.000274; 0.000360; 0.000348;
80; 2016-03-03 11:25:33.615 BRT; -0.000691; -0.000913; 0.000231; 0.000091;
81; 2016-03-03 11:26:37.642 BRT; -0.001538; -0.001778; 0.000103; 0.000091;
82; 2016-03-03 11:27:41.657 BRT; -0.001440; -0.001564; -0.000154; -0.000166;
83; 2016-03-03 11:28:45.728 BRT; -0.001113; -0.001241; -0.000347; -0.000423;
84; 2016-03-03 11:29:49.730 BRT; -0.000061; -0.000267; -0.000539; -0.000551;
85; 2016-03-03 11:30:53.738 BRT; -0.001707; -0.001783; 0.000231; 0.000091;
86; 2016-03-03 11:31:57.748 BRT; -0.000699; -0.000918; -0.000539; -0.000551;
87; 2016-03-03 11:33:01.766 BRT; -0.001055; -0.001135; 0.000274; 0.000348;
88; 2016-03-03 11:34:05.772 BRT; -0.001342; -0.001353; 0.000359; 0.000219;
89; 2016-03-03 11:35:09.774 BRT; 0.001396; 0.001255; -0.000539; -0.000422;
90; 2016-03-03 11:36:13.802 BRT; 0.001624; 0.001469; -0.001438; -0.001321;
91; 2016-03-03 11:37:17.822 BRT; -0.000251; -0.000158; -0.000668; -0.000809;
92; 2016-03-03 11:38:21.822 BRT; -0.001633; -0.001674; 0.000103; -0.000166;
93; 2016-03-03 11:39:25.845 BRT; 0.000434; 0.000275; -0.000540; -0.000552;
94; 2016-03-03 11:40:29.846 BRT; 0.000507; 0.000275; -0.000540; -0.000680;
95; 2016-03-03 11:41:34.100 BRT; -0.000321; -0.000375; -0.000669; -0.000681;
96; 2016-03-03 11:42:38.740 BRT; -0.001858; -0.001890; -0.000283; -0.000295;
97; 2016-03-03 11:43:42.132 BRT; -0.000104; -0.000158; -0.000734; -0.000681;
98; 2016-03-03 11:44:46.138 BRT; -0.002021; -0.002109; -0.000026; -0.000166;
99; 2016-03-03 11:45:50.179 BRT; 0.000673; 0.000601; 0.000039; 0.000091;
100; 2016-03-03 11:46:54.231 BRT; -0.001822; -0.001785; 0.000747; 0.000735;
101; 2016-03-03 11:47:58.283 BRT; 0.000591; 0.000384; -0.000669; -0.000809;
102; 2016-03-03 11:49:02.300 BRT; -0.000985; -0.001243; -0.000541; -0.000424;
103; 2016-03-03 11:50:06.306 BRT; 0.000326; 0.000059; -0.000283; -0.000295;
104; 2016-03-03 11:51:10.306 BRT; 0.000243; 0.000167; -0.000283; -0.000424;
105; 2016-03-03 11:52:14.307 BRT; 0.000972; 0.000709; 0.000103; 0.000091;
106; 2016-03-03 11:53:18.318 BRT; 0.000069; -0.000050; -0.001442; -0.001453;
107; 2016-03-03 11:54:22.337 BRT; 0.000247; 0.000167; -0.000284; -0.000424;
108; 2016-03-03 11:55:26.346 BRT; 0.000364; 0.000058; 0.000232; 0.000220;
109; 2016-03-03 11:56:30.426 BRT; -0.000078; -0.000050; -0.000283; -0.000295;
110; 2016-03-03 11:57:34.449 BRT; -0.000938; -0.000914; 0.000232; 0.000091;
111; 2016-03-03 11:58:38.497 BRT; -0.001397; -0.001563; -0.000155; -0.000166;
112; 2016-03-03 11:59:42.540 BRT; -0.000191; -0.000158; -0.000176; -0.000166;
113; 2016-03-03 12:00:46.544 BRT; -0.001693; -0.001673; -0.000348; -0.000166;
114; 2016-03-03 12:01:50.806 BRT; -0.002059; -0.002109; 0.000318; 0.000220;
115; 2016-03-03 12:02:54.812 BRT; 0.000903; 0.000710; -0.000283; -0.000424;
116; 2016-03-03 12:03:58.900 BRT; 0.000503; 0.000384; -0.000541; -0.000553;
117; 2016-03-03 12:05:02.926 BRT; 0.000217; -0.000050; -0.000455; -0.000553;
118; 2016-03-03 12:06:06.943 BRT; 0.000320; 0.000167; -0.000283; -0.000424;
119; 2016-03-03 12:07:10.983 BRT; -0.000653; -0.000699; 0.000232; 0.000091;
120; 2016-03-03 12:08:15.000 BRT; -0.000087; -0.000266; 0.000103; 0.000091;
121; 2016-03-03 12:09:19.110 BRT; 0.000273; 0.000275; -0.000155; -0.000166;
122; 2016-03-03 12:10:23.290 BRT; 0.000402; 0.000166; 0.001004; 0.000993;
123; 2016-03-03 12:11:27.590 BRT; 0.000367; 0.000166; -0.000412; -0.000552;
124; 2016-03-03 12:12:31.810 BRT; -0.000073; -0.000373; -0.000090; -0.000295;
125; 2016-03-03 12:13:35.138 BRT; -0.001451; -0.001669; 0.000875; 0.000734;
126; 2016-03-03 12:14:39.144 BRT; -0.001777; -0.001995; 0.000360; 0.000348;
127; 2016-03-03 12:15:43.200 BRT; 0.000576; 0.000491; -0.000668; -0.000808;
128; 2016-03-03 12:16:47.206 BRT; -0.001008; -0.001239; -0.000283; -0.000295;
129; 2016-03-03 12:17:51.299 BRT; -0.001839; -0.001997; -0.000925; -0.000937;
130; 2016-03-03 12:18:55.301 BRT; 0.000563; 0.000384; -0.000369; -0.000423;
131; 2016-03-03 12:19:59.393 BRT; -0.000650; -0.000808; -0.000283; -0.000423;
132; 2016-03-03 12:21:03.437 BRT; -0.001772; -0.001999; -0.000154; -0.000295;
133; 2016-03-03 12:22:07.460 BRT; -0.000460; -0.000592; -0.000026; -0.000166;
134; 2016-03-03 12:23:11.558 BRT; 0.000868; 0.000818; -0.000926; -0.000938;
135; 2016-03-03 12:24:15.686 BRT; -0.000845; -0.001025; -0.000026; -0.000038;
136; 2016-03-03 12:25:19.815 BRT; 0.000373; 0.000167; -0.000154; -0.000295;
137; 2016-03-03 12:26:23.818 BRT; -0.000741; -0.000916; 0.000103; 0.000091;
138; 2016-03-03 12:27:27.821 BRT; 0.000052; -0.000158; -0.000412; -0.000424;
139; 2016-03-03 12:28:31.831 BRT; -0.000342; -0.000483; -0.000412; -0.000424;
140; 2016-03-03 12:29:35.841 BRT; -0.001374; -0.001567; -0.000154; -0.000295;
141; 2016-03-03 12:30:39.875 BRT; 0.000499; 0.000384; -0.000154; -0.000166;
142; 2016-03-03 12:31:43.915 BRT; 0.000295; 0.000059; -0.000541; -0.000553;
143; 2016-03-03 12:32:47.917 BRT; -0.000212; -0.000375; -0.000155; -0.000295;
144; 2016-03-03 12:33:51.917 BRT; 0.001343; 0.001466; -0.000906; -0.000939;
145; 2016-03-03 12:34:55.938 BRT; -0.000190; -0.000266; 0.000103; 0.000091;
146; 2016-03-03 12:35:59.938 BRT; -0.001405; -0.001563; 0.000490; 0.000349;
147; 2016-03-03 12:37:03.944 BRT; 0.000489; 0.000275; -0.000026; -0.000166;
148; 2016-03-03 12:38:07.985 BRT; -0.000951; -0.001131; -0.000412; -0.000553;
149; 2016-03-03 12:39:12.270 BRT; 0.000398; 0.000275; -0.000412; -0.000553;
150; 2016-03-03 12:40:16.720 BRT; -0.000268; -0.000482; -0.000863; -0.000939;
151; 2016-03-03 12:41:20.112 BRT; -0.001128; -0.001239; -0.000026; -0.000038;
152; 2016-03-03 12:42:24.178 BRT; 0.000588; 0.000383; -0.000541; -0.000682;
153; 2016-03-03 12:43:28.225 BRT; -0.001098; -0.001239; -0.000112; -0.000167;
154; 2016-03-03 12:44:32.347 BRT; 0.000022; -0.000158; 0.000619; 0.000607;
155; 2016-03-03 12:45:36.536 BRT; 0.000087; -0.000050; -0.000155; -0.000166;
156; 2016-03-03 12:46:40.541 BRT; -0.000917; -0.001023; -0.000670; -0.000810;
157; 2016-03-03 12:47:44.615 BRT; 0.001146; 0.000924; -0.000799; -0.000811;
158; 2016-03-03 12:48:48.671 BRT; 0.000389; 0.000382; -0.000284; -0.000553;
159; 2016-03-03 12:49:52.675 BRT; -0.000471; -0.000697; -0.000026; -0.000038;
160; 2016-03-03 12:50:56.693 BRT; -0.000168; -0.000373; -0.000627; -0.000682;
161; 2016-03-03 12:52:00.710 BRT; -0.000216; -0.000373; -0.000929; -0.001070;
162; 2016-03-03 12:53:04.772 BRT; 0.000069; -0.000050; 0.000361; 0.000350;
163; 2016-03-03 12:54:08.775 BRT; -0.000263; -0.000373; -0.000284; -0.000425;
164; 2016-03-03 12:55:12.775 BRT; 0.000539; 0.000382; -0.000929; -0.001070;
165; 2016-03-03 12:56:16.816 BRT; -0.000108; -0.000265; 0.000103; 0.000091;
166; 2016-03-03 12:57:20.841 BRT; -0.000259; -0.000481; -0.000671; -0.000683;
167; 2016-03-03 12:58:24.900 BRT; -0.001173; -0.001235; -0.000026; -0.000038;
168; 2016-03-03 12:59:28.948 BRT; -0.001036; -0.001236; 0.000232; 0.000221;
169; 2016-03-03 13:00:32.948 BRT; 0.000838; 0.000598; -0.000155; -0.000167;
170; 2016-03-03 13:01:36.972 BRT; 0.000052; -0.000050; -0.000413; -0.000425;
171; 2016-03-03 13:02:41.700 BRT; -0.000793; -0.000912; -0.000542; -0.000554;
172; 2016-03-03 13:03:45.710 BRT; 0.000789; 0.000597; -0.000026; -0.000038;
173; 2016-03-03 13:04:49.219 BRT; -0.001383; -0.001450; 0.000254; 0.000091;
174; 2016-03-03 13:05:53.220 BRT; -0.000164; -0.000265; -0.000542; -0.000554;
175; 2016-03-03 13:06:57.233 BRT; 0.001191; 0.001137; -0.000951; -0.001070;
176; 2016-03-03 13:08:01.253 BRT; -0.000629; -0.000803; -0.000090; -0.000038;
177; 2016-03-03 13:09:05.257 BRT; -0.000142; -0.000373; -0.000930; -0.000942;
178; 2016-03-03 13:10:09.296 BRT; 0.000082; -0.000050; -0.001189; -0.001072;
179; 2016-03-03 13:11:13.302 BRT; -0.000926; -0.001018; 0.000362; 0.000221;
180; 2016-03-03 13:12:17.302 BRT; 0.000060; -0.000050; -0.000931; -0.000814;
181; 2016-03-03 13:13:21.323 BRT; 0.001447; 0.001350; 0.000017; -0.000167;
182; 2016-03-03 13:14:25.324 BRT; -0.001436; -0.001554; 0.000751; 0.000739;
183; 2016-03-03 13:15:29.341 BRT; 0.000344; 0.000166; -0.000155; -0.000167;
184; 2016-03-03 13:16:33.365 BRT; -0.000108; -0.000265; -0.000931; -0.000813;
