4;10;4;1
-0.000931;0.000842;-0.000930;0.000722;
0.000266;0.000240;0.000399;0.000120;
0.002263;0.000240;0.001729;0.000361;
-0.000398;0.002883;-0.000398;0.003003;
0.000266;0.000958;0.000398;0.000958;
0.000399;-0.000479;0.000797;-0.000359;
0.000664;-0.001197;0.000133;-0.001197;
-0.000663;0.000000;-0.000133;-0.000120;
0.000266;-0.000959;0.000000;-0.000959;
-0.001460;-0.000240;-0.000929;-0.000240;
0.003191;-0.000720;0.002921;-0.000840;
20160121-09:24:52.638 BRT;20160121-09:29:09.295 BRT;20160121-09:33:25.317 BRT;20160121-09:37:41.359 BRT;20160121-09:41:57.384 BRT;20160121-09:46:13.397 BRT;20160121-09:50:29.406 BRT;20160121-09:54:45.514 BRT;20160121-09:59:01.689 BRT;20160121-10:03:17.700 BRT;20160121-10:07:33.748 BRT;
