id; time; WIN<qty=25>; IND<qty=5>; WDO<qty=6>; DOL<qty=5>;
0; 2016-03-01 10:00:09.651 BRT; 0.000000; 0.000000; 0.000000; 0.000000;
1; 2016-03-01 10:01:13.798 BRT; 0.000114; -0.000052; -0.000149; -0.000161;
2; 2016-03-01 10:02:17.840 BRT; -0.000778; -0.000734; -0.000149; -0.000285;
3; 2016-03-01 10:03:21.955 BRT; -0.000332; -0.000394; 0.000099; 0.000088;
4; 2016-03-01 10:04:26.700 BRT; 0.000464; 0.000289; 0.000597; 0.000337;
5; 2016-03-01 10:05:30.880 BRT; -0.001323; -0.001416; -0.000646; -0.000657;
6; 2016-03-01 10:06:34.100 BRT; -0.000683; -0.000849; -0.000046; -0.000161;
7; 2016-03-01 10:07:38.110 BRT; 0.001825; 0.001654; -0.000273; -0.000161;
8; 2016-03-01 10:08:42.185 BRT; -0.000949; -0.001074; 0.000389; 0.000461;
9; 2016-03-01 10:09:46.221 BRT; -0.000159; -0.000166; 0.000596; 0.000585;
10; 2016-03-01 10:10:50.250 BRT; -0.000845; -0.001075; -0.000025; -0.000160;
11; 2016-03-01 10:11:54.263 BRT; -0.002705; -0.002893; 0.001113; 0.001081;
12; 2016-03-01 10:12:58.288 BRT; -0.000533; -0.000736; 0.000843; 0.000707;
13; 2016-03-01 10:14:02.323 BRT; 0.000428; 0.000289; -0.000891; -0.001026;
14; 2016-03-01 10:15:06.413 BRT; -0.000337; -0.000394; -0.000396; -0.000532;
15; 2016-03-01 10:16:10.542 BRT; -0.000988; -0.001077; -0.000273; -0.000284;
16; 2016-03-01 10:17:14.563 BRT; 0.000684; 0.000403; 0.000471; 0.000460;
17; 2016-03-01 10:18:18.563 BRT; 0.000983; 0.000858; -0.000768; -0.000903;
18; 2016-03-01 10:19:22.584 BRT; -0.000932; -0.001075; 0.001586; 0.001575;
19; 2016-03-01 10:20:26.614 BRT; 0.000564; 0.000630; 0.000099; 0.000088;
20; 2016-03-01 10:21:30.712 BRT; 0.000568; 0.000516; 0.000717; 0.000582;
21; 2016-03-01 10:22:34.793 BRT; -0.001022; -0.001187; 0.000470; 0.000335;
22; 2016-03-01 10:23:38.847 BRT; -0.000854; -0.001075; -0.000148; -0.000407;
23; 2016-03-01 10:24:42.929 BRT; -0.000100; -0.000280; -0.000642; -0.000654;
24; 2016-03-01 10:25:47.560 BRT; -0.000614; -0.000734; -0.000148; -0.000160;
25; 2016-03-01 10:26:51.143 BRT; -0.000114; -0.000166; -0.000272; -0.000283;
26; 2016-03-01 10:27:55.556 BRT; -0.001086; -0.001075; -0.000148; -0.000283;
27; 2016-03-01 10:28:59.576 BRT; -0.001206; -0.001303; -0.001137; -0.001148;
28; 2016-03-01 10:30:03.608 BRT; -0.000442; -0.000621; 0.000223; 0.000211;
29; 2016-03-01 10:31:07.670 BRT; -0.000651; -0.000849; -0.001035; -0.001149;
30; 2016-03-01 10:32:11.693 BRT; 0.000569; 0.000517; -0.000644; -0.000655;
31; 2016-03-01 10:33:15.940 BRT; 0.000159; -0.000052; 0.000347; 0.000211;
32; 2016-03-01 10:34:20.130 BRT; -0.000455; -0.000621; -0.000149; -0.000284;
33; 2016-03-01 10:35:24.300 BRT; -0.000505; -0.000507; -0.001015; -0.001026;
34; 2016-03-01 10:36:28.185 BRT; -0.000259; -0.000280; -0.000727; -0.000779;
35; 2016-03-01 10:37:32.282 BRT; 0.000109; -0.000052; -0.000149; -0.000160;
36; 2016-03-01 10:38:36.356 BRT; -0.000073; -0.000166; 0.000471; 0.000460;
