id; time; WIN<qty=25>; IND<qty=5>; WDO<qty=6>; DOL<qty=5>;
0; 2016-03-01 10:00:09.651 BRT; 0.000000; 0.000000; 0.000000; 0.000000;
1; 2016-03-01 10:01:13.798 BRT; -0.000810; -0.000735; -0.000149; -0.000409;
2; 2016-03-01 10:02:17.840 BRT; 0.000109; -0.000052; -0.000149; -0.000161;
3; 2016-03-01 10:03:21.955 BRT; -0.000323; -0.000394; -0.000398; -0.000534;
4; 2016-03-01 10:04:26.700 BRT; -0.001142; -0.001190; -0.000895; -0.000906;
5; 2016-03-01 10:05:30.880 BRT; 0.000673; 0.000402; 0.000327; 0.000088;
6; 2016-03-01 10:06:34.100 BRT; 0.000009; -0.000166; -0.000398; -0.000285;
7; 2016-03-01 10:07:38.110 BRT; -0.002544; -0.002556; -0.000170; -0.000161;
8; 2016-03-01 10:08:42.185 BRT; 0.000282; 0.000288; -0.000770; -0.000782;
9; 2016-03-01 10:09:46.221 BRT; -0.000504; -0.000734; -0.000956; -0.001030;
10; 2016-03-01 10:10:50.250 BRT; 0.000141; -0.000052; -0.000273; -0.000284;
11; 2016-03-01 10:11:54.263 BRT; 0.001969; 0.001766; -0.001514; -0.001525;
12; 2016-03-01 10:12:58.288 BRT; -0.000159; -0.000280; -0.001243; -0.001275;
13; 2016-03-01 10:14:02.323 BRT; -0.001085; -0.001306; 0.000594; 0.000459;
14; 2016-03-01 10:15:06.413 BRT; -0.000373; -0.000508; 0.000099; 0.000088;
15; 2016-03-01 10:16:10.542 BRT; 0.000291; 0.000175; -0.000025; -0.000036;
16; 2016-03-01 10:17:14.563 BRT; -0.001308; -0.001419; -0.000768; -0.000904;
17; 2016-03-01 10:18:18.563 BRT; -0.001625; -0.001873; 0.000471; 0.000335;
18; 2016-03-01 10:19:22.584 BRT; 0.000236; 0.000175; -0.001884; -0.002019;
19; 2016-03-01 10:20:26.614 BRT; -0.001242; -0.001303; -0.000396; -0.000531;
20; 2016-03-01 10:21:30.712 BRT; -0.001250; -0.001302; -0.001014; -0.001149;
21; 2016-03-01 10:22:34.793 BRT; 0.000341; 0.000175; -0.000766; -0.000901;
22; 2016-03-01 10:23:38.847 BRT; 0.000164; 0.000061; -0.000148; -0.000160;
23; 2016-03-01 10:24:42.929 BRT; -0.000559; -0.000734; 0.000346; 0.000211;
24; 2016-03-01 10:25:47.560 BRT; -0.000036; -0.000166; -0.000148; -0.000160;
25; 2016-03-01 10:26:51.143 BRT; -0.000555; -0.000621; -0.000025; -0.000036;
26; 2016-03-01 10:27:55.556 BRT; 0.000455; 0.000289; -0.000148; -0.000160;
27; 2016-03-01 10:28:59.576 BRT; 0.000505; 0.000516; 0.000840; 0.000705;
28; 2016-03-01 10:30:03.608 BRT; -0.000264; -0.000280; -0.000540; -0.000531;
29; 2016-03-01 10:31:07.670 BRT; 0.000114; -0.000052; 0.000717; 0.000706;
30; 2016-03-01 10:32:11.693 BRT; -0.001139; -0.001419; 0.000347; 0.000211;
31; 2016-03-01 10:33:15.940 BRT; -0.000796; -0.000962; -0.000644; -0.000655;
32; 2016-03-01 10:34:20.130 BRT; -0.000182; -0.000280; -0.000149; -0.000284;
33; 2016-03-01 10:35:24.300 BRT; -0.000159; -0.000280; 0.000635; 0.000459;
34; 2016-03-01 10:36:28.185 BRT; -0.000391; -0.000507; 0.000347; 0.000335;
35; 2016-03-01 10:37:32.282 BRT; -0.000733; -0.000735; -0.000149; -0.000160;
36; 2016-03-01 10:38:36.356 BRT; -0.000519; -0.000621; -0.000768; -0.000780;
37; 2016-03-01 10:39:40.404 BRT; -0.000441; -0.000507; -0.000272; -0.000284;
38; 2016-03-01 10:40:44.422 BRT; -0.000141; -0.000280; 0.000078; -0.000160;
39; 2016-03-01 10:41:48.502 BRT; -0.000482; -0.000621; 0.000099; 0.000088;
40; 2016-03-01 10:42:52.577 BRT; 0.000537; 0.000402; -0.000396; -0.000408;
