# Please wait, building network...
day_i=0; avg_capital=123935.58; n_ops=66; WIN_ii=24.85; WIN_i!=24.85; WIN_i-=0.00; WIN_!i=22.49; WIN_!!=27.22; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===52.66; WIN_gi=0.0; WIN_g!=9.5; WIN_hit_rate=30.8; WIN_capital=123057.0; WIN_n_ops=13; IND_ii=24.85; IND_i!=26.63; IND_i-=0.00; IND_!i=23.08; IND_!!=24.85; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===50.30; IND_gi=-3.4; IND_g!=3.7; IND_hit_rate=42.9; IND_capital=124109.6; IND_n_ops=14; WDO_ii=20.71; WDO_i!=24.26; WDO_i-=0.00; WDO_!i=24.85; WDO_!!=29.59; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===50.89; WDO_gi=-7.9; WDO_g!=8.7; WDO_hit_rate=45.5; WDO_capital=123829.0; WDO_n_ops=22; DOL_ii=17.16; DOL_i!=23.08; DOL_i-=0.00; DOL_!i=25.44; DOL_!!=33.73; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===51.48; DOL_gi=-14.7; DOL_g!=14.0; DOL_hit_rate=41.2; DOL_capital=124746.7; DOL_n_ops=17; 
day_i=1; avg_capital=125145.31; n_ops=110; WIN_ii=27.81; WIN_i!=20.12; WIN_i-=0.00; WIN_!i=22.49; WIN_!!=28.99; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===57.40; WIN_gi=16.0; WIN_g!=12.6; WIN_hit_rate=60.5; WIN_capital=127082.0; WIN_n_ops=38; IND_ii=33.14; IND_i!=23.08; IND_i-=0.00; IND_!i=20.12; IND_!!=23.08; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===56.80; IND_gi=17.9; IND_g!=6.8; IND_hit_rate=63.0; IND_capital=128124.4; IND_n_ops=46; WDO_ii=17.16; WDO_i!=28.40; WDO_i-=0.00; WDO_!i=28.99; WDO_!!=24.85; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===42.60; WDO_gi=-24.7; WDO_g!=-7.7; WDO_hit_rate=27.3; WDO_capital=120789.5; WDO_n_ops=11; DOL_ii=18.93; DOL_i!=26.04; DOL_i-=0.00; DOL_!i=26.63; DOL_!!=27.81; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===47.34; DOL_gi=-15.8; DOL_g!=2.2; DOL_hit_rate=33.3; DOL_capital=124585.3; DOL_n_ops=15; 
day_i=2; avg_capital=125178.14; n_ops=65; WIN_ii=23.67; WIN_i!=25.44; WIN_i-=0.00; WIN_!i=26.04; WIN_!!=24.26; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===48.52; WIN_gi=-3.6; WIN_g!=-3.5; WIN_hit_rate=64.3; WIN_capital=126346.0; WIN_n_ops=14; IND_ii=15.98; IND_i!=24.26; IND_i-=0.00; IND_!i=31.95; IND_!!=27.22; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===43.79; IND_gi=-20.6; IND_g!=-8.0; IND_hit_rate=44.4; IND_capital=125205.2; IND_n_ops=18; WDO_ii=20.12; WDO_i!=19.53; WDO_i-=0.00; WDO_!i=24.26; WDO_!!=35.50; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===56.21; WDO_gi=1.5; WDO_g!=18.8; WDO_hit_rate=33.3; WDO_capital=124201.0; WDO_n_ops=18; DOL_ii=16.57; DOL_i!=17.75; DOL_i-=0.00; DOL_!i=26.63; DOL_!!=38.46; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===55.62; DOL_gi=-3.4; DOL_g!=18.2; DOL_hit_rate=40.0; DOL_capital=124960.3; DOL_n_ops=15; 
day_i=3; avg_capital=124869.68; n_ops=64; WIN_ii=16.05; WIN_i!=27.16; WIN_i-=0.00; WIN_!i=28.40; WIN_!!=27.78; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.62; WIN_===44.44; WIN_gi=-25.7; WIN_g!=-1.1; WIN_hit_rate=28.6; WIN_capital=124423.0; WIN_n_ops=7; IND_ii=20.37; IND_i!=29.63; IND_i-=0.00; IND_!i=25.93; IND_!!=23.46; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.62; IND_===44.44; IND_gi=-18.5; IND_g!=-5.0; IND_hit_rate=50.0; IND_capital=125582.4; IND_n_ops=16; WDO_ii=21.60; WDO_i!=25.31; WDO_i-=0.00; WDO_!i=22.84; WDO_!!=29.63; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.62; WDO_===51.85; WDO_gi=-7.9; WDO_g!=12.9; WDO_hit_rate=42.9; WDO_capital=124609.5; WDO_n_ops=21; DOL_ii=20.99; DOL_i!=28.40; DOL_i-=0.00; DOL_!i=27.16; DOL_!!=22.84; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.62; DOL_===44.44; DOL_gi=-15.0; DOL_g!=-8.6; DOL_hit_rate=55.0; DOL_capital=124863.8; DOL_n_ops=20; 
day_i=4; avg_capital=123466.03; n_ops=36; WIN_ii=12.43; WIN_i!=23.67; WIN_i-=0.00; WIN_!i=30.77; WIN_!!=32.54; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===45.56; WIN_gi=-31.1; WIN_g!=2.8; WIN_hit_rate=37.5; WIN_capital=124262.0; WIN_n_ops=8; IND_ii=11.24; IND_i!=14.20; IND_i-=0.00; IND_!i=27.81; IND_!!=46.15; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===57.99; IND_gi=-11.6; IND_g!=24.8; IND_hit_rate=25.0; IND_capital=122686.8; IND_n_ops=12; WDO_ii=18.34; WDO_i!=28.40; WDO_i-=0.00; WDO_!i=23.67; WDO_!!=28.99; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===47.93; WDO_gi=-21.5; WDO_g!=10.1; WDO_hit_rate=22.2; WDO_capital=122100.5; WDO_n_ops=9; DOL_ii=15.98; DOL_i!=27.81; DOL_i-=0.00; DOL_!i=25.44; DOL_!!=30.18; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===46.75; DOL_gi=-27.0; DOL_g!=8.5; DOL_hit_rate=28.6; DOL_capital=124814.8; DOL_n_ops=7; 
day_i=5; avg_capital=123385.21; n_ops=55; WIN_ii=18.34; WIN_i!=26.63; WIN_i-=0.00; WIN_!i=18.93; WIN_!!=35.50; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===54.44; WIN_gi=-18.4; WIN_g!=30.4; WIN_hit_rate=44.4; WIN_capital=123502.0; WIN_n_ops=18; IND_ii=11.83; IND_i!=23.08; IND_i-=0.00; IND_!i=24.85; IND_!!=39.64; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===52.07; IND_gi=-32.2; IND_g!=22.9; IND_hit_rate=0.0; IND_capital=122252.6; IND_n_ops=9; WDO_ii=16.57; WDO_i!=21.30; WDO_i-=0.00; WDO_!i=30.77; WDO_!!=30.77; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===47.93; WDO_gi=-12.5; WDO_g!=0.0; WDO_hit_rate=54.5; WDO_capital=124414.5; WDO_n_ops=11; DOL_ii=18.34; DOL_i!=17.16; DOL_i-=0.00; DOL_!i=25.44; DOL_!!=38.46; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===57.40; DOL_gi=3.3; DOL_g!=20.4; DOL_hit_rate=41.2; DOL_capital=123371.7; DOL_n_ops=17; 
day_i=6; avg_capital=120777.42; n_ops=56; WIN_ii=18.01; WIN_i!=20.50; WIN_i-=0.00; WIN_!i=22.98; WIN_!!=37.89; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.62; WIN_===56.52; WIN_gi=-6.5; WIN_g!=24.5; WIN_hit_rate=50.0; WIN_capital=123274.0; WIN_n_ops=16; IND_ii=12.42; IND_i!=22.36; IND_i-=0.00; IND_!i=30.43; IND_!!=34.16; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.62; IND_===47.20; IND_gi=-28.6; IND_g!=5.8; IND_hit_rate=37.5; IND_capital=121491.2; IND_n_ops=8; WDO_ii=24.84; WDO_i!=24.84; WDO_i-=0.00; WDO_!i=19.88; WDO_!!=29.81; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.62; WDO_===55.28; WDO_gi=0.0; WDO_g!=20.0; WDO_hit_rate=47.4; WDO_capital=115920.5; WDO_n_ops=19; DOL_ii=20.50; DOL_i!=23.60; DOL_i-=0.00; DOL_!i=21.74; DOL_!!=33.54; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.62; DOL_===54.66; DOL_gi=-7.0; DOL_g!=21.3; DOL_hit_rate=30.8; DOL_capital=122424.0; DOL_n_ops=13; 
day_i=7; avg_capital=123807.74; n_ops=60; WIN_ii=20.96; WIN_i!=22.75; WIN_i-=0.00; WIN_!i=24.55; WIN_!!=31.14; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.60; WIN_===52.69; WIN_gi=-4.1; WIN_g!=11.8; WIN_hit_rate=47.1; WIN_capital=123763.0; WIN_n_ops=17; IND_ii=22.16; IND_i!=28.74; IND_i-=0.00; IND_!i=25.15; IND_!!=23.35; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.60; IND_===46.11; IND_gi=-12.9; IND_g!=-3.7; IND_hit_rate=55.6; IND_capital=125005.2; IND_n_ops=18; WDO_ii=19.16; WDO_i!=19.76; WDO_i-=0.60; WDO_!i=24.55; WDO_!!=34.13; WDO_!-=0.60; WDO_-i=0.60; WDO_-!=0.00; WDO_--=0.60; WDO_===53.89; WDO_gi=-2.0; WDO_g!=15.8; WDO_hit_rate=52.4; WDO_capital=125140.0; WDO_n_ops=21; DOL_ii=18.56; DOL_i!=29.94; DOL_i-=0.00; DOL_!i=27.54; DOL_!!=23.35; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.60; DOL_===42.51; DOL_gi=-23.5; DOL_g!=-8.2; DOL_hit_rate=25.0; DOL_capital=121322.8; DOL_n_ops=4; 
day_i=8; avg_capital=122993.66; n_ops=63; WIN_ii=21.30; WIN_i!=22.49; WIN_i-=0.00; WIN_!i=24.26; WIN_!!=31.36; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===53.25; WIN_gi=-2.7; WIN_g!=12.8; WIN_hit_rate=29.4; WIN_capital=119113.0; WIN_n_ops=17; IND_ii=23.67; IND_i!=27.22; IND_i-=0.00; IND_!i=22.49; IND_!!=26.04; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===50.30; IND_gi=-7.0; IND_g!=7.3; IND_hit_rate=52.0; IND_capital=123835.0; IND_n_ops=25; WDO_ii=21.89; WDO_i!=21.89; WDO_i-=0.00; WDO_!i=24.85; WDO_!!=30.77; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===53.25; WDO_gi=0.0; WDO_g!=10.6; WDO_hit_rate=60.0; WDO_capital=125667.5; WDO_n_ops=15; DOL_ii=19.53; DOL_i!=23.08; DOL_i-=0.00; DOL_!i=26.63; DOL_!!=30.18; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===50.30; DOL_gi=-8.3; DOL_g!=6.2; DOL_hit_rate=0.0; DOL_capital=123359.1; DOL_n_ops=6; 
day_i=9; avg_capital=124584.78; n_ops=70; WIN_ii=11.83; WIN_i!=17.75; WIN_i-=0.00; WIN_!i=30.77; WIN_!!=39.05; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===51.48; WIN_gi=-20.0; WIN_g!=11.9; WIN_hit_rate=58.8; WIN_capital=123863.0; WIN_n_ops=17; IND_ii=12.43; IND_i!=17.75; IND_i-=1.18; IND_!i=30.18; IND_!!=37.87; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===50.89; IND_gi=-18.2; IND_g!=11.3; IND_hit_rate=33.3; IND_capital=121364.0; IND_n_ops=12; WDO_ii=21.30; WDO_i!=19.53; WDO_i-=0.00; WDO_!i=26.04; WDO_!!=32.54; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===54.44; WDO_gi=4.3; WDO_g!=11.1; WDO_hit_rate=59.1; WDO_capital=129704.0; WDO_n_ops=22; DOL_ii=25.44; DOL_i!=21.89; DOL_i-=0.00; DOL_!i=20.71; DOL_!!=31.36; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===57.40; DOL_gi=7.5; DOL_g!=20.5; DOL_hit_rate=36.8; DOL_capital=123408.1; DOL_n_ops=19; 
day_i=10; avg_capital=128198.62; n_ops=95; WIN_ii=23.67; WIN_i!=21.30; WIN_i-=0.00; WIN_!i=26.63; WIN_!!=27.81; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.59; WIN_===52.07; WIN_gi=5.3; WIN_g!=2.2; WIN_hit_rate=58.1; WIN_capital=129559.0; WIN_n_ops=31; IND_ii=21.89; IND_i!=21.30; IND_i-=0.00; IND_!i=26.04; IND_!!=30.18; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.59; IND_===52.66; IND_gi=1.4; IND_g!=7.4; IND_hit_rate=56.5; IND_capital=125262.2; IND_n_ops=23; WDO_ii=24.85; WDO_i!=27.22; WDO_i-=0.00; WDO_!i=18.34; WDO_!!=28.99; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.59; WDO_===54.44; WDO_gi=-4.5; WDO_g!=22.5; WDO_hit_rate=47.6; WDO_capital=126984.5; WDO_n_ops=21; DOL_ii=24.26; DOL_i!=25.44; DOL_i-=0.00; DOL_!i=20.12; DOL_!!=29.59; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.59; DOL_===54.44; DOL_gi=-2.4; DOL_g!=19.0; DOL_hit_rate=60.0; DOL_capital=130988.8; DOL_n_ops=20; 
