# Please wait, building network...
day_i=0; avg_capital=123187.85; n_ops=113; WIN_ii=12.81; WIN_i!=18.11; WIN_i-=0.00; WIN_!i=26.46; WIN_!!=42.34; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===55.43; WIN_gi=-17.1; WIN_g!=23.1; WIN_hit_rate=40.0; WIN_capital=124020.0; WIN_n_ops=30; IND_ii=15.60; IND_i!=18.11; IND_i-=0.00; IND_!i=24.51; IND_!!=41.50; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===57.38; IND_gi=-7.4; IND_g!=25.7; IND_hit_rate=52.9; IND_capital=123987.6; IND_n_ops=34; WDO_ii=12.81; WDO_i!=21.73; WDO_i-=0.00; WDO_!i=28.97; WDO_!!=36.21; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===49.30; WDO_gi=-25.8; WDO_g!=11.1; WDO_hit_rate=23.8; WDO_capital=119484.5; WDO_n_ops=21; DOL_ii=13.65; DOL_i!=18.94; DOL_i-=0.00; DOL_!i=26.74; DOL_!!=40.39; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===54.32; DOL_gi=-16.2; DOL_g!=20.3; DOL_hit_rate=39.3; DOL_capital=125259.3; DOL_n_ops=28; 
day_i=1; avg_capital=120081.20; n_ops=113; WIN_ii=19.78; WIN_i!=22.28; WIN_i-=0.00; WIN_!i=23.68; WIN_!!=33.98; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===54.04; WIN_gi=-6.0; WIN_g!=17.9; WIN_hit_rate=37.9; WIN_capital=121881.0; WIN_n_ops=29; IND_ii=18.38; IND_i!=20.61; IND_i-=0.00; IND_!i=24.79; IND_!!=35.93; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===54.60; IND_gi=-5.7; IND_g!=18.3; IND_hit_rate=50.0; IND_capital=122742.0; IND_n_ops=30; WDO_ii=18.11; WDO_i!=21.73; WDO_i-=0.00; WDO_!i=25.91; WDO_!!=33.98; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===52.37; WDO_gi=-9.1; WDO_g!=13.5; WDO_hit_rate=35.3; WDO_capital=114963.0; WDO_n_ops=34; DOL_ii=14.21; DOL_i!=21.17; DOL_i-=0.00; DOL_!i=27.58; DOL_!!=36.77; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===51.25; DOL_gi=-19.7; DOL_g!=14.3; DOL_hit_rate=30.0; DOL_capital=120738.8; DOL_n_ops=20; 
day_i=2; avg_capital=126535.13; n_ops=161; WIN_ii=22.56; WIN_i!=20.89; WIN_i-=0.00; WIN_!i=25.07; WIN_!!=31.20; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===54.04; WIN_gi=3.8; WIN_g!=10.9; WIN_hit_rate=56.9; WIN_capital=124112.0; WIN_n_ops=58; IND_ii=22.56; IND_i!=23.68; IND_i-=0.00; IND_!i=25.63; IND_!!=27.86; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===50.70; IND_gi=-2.4; IND_g!=4.2; IND_hit_rate=53.7; IND_capital=122917.4; IND_n_ops=41; WDO_ii=18.11; WDO_i!=20.89; WDO_i-=0.00; WDO_!i=25.91; WDO_!!=34.82; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===53.20; WDO_gi=-7.1; WDO_g!=14.7; WDO_hit_rate=65.7; WDO_capital=131807.5; WDO_n_ops=35; DOL_ii=16.99; DOL_i!=23.96; DOL_i-=0.00; DOL_!i=26.46; DOL_!!=32.31; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===49.58; DOL_gi=-17.0; DOL_g!=10.0; DOL_hit_rate=55.6; DOL_capital=127303.6; DOL_n_ops=27; 
day_i=3; avg_capital=123373.70; n_ops=82; WIN_ii=14.24; WIN_i!=25.00; WIN_i-=0.00; WIN_!i=26.45; WIN_!!=34.01; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.29; WIN_===48.55; WIN_gi=-27.4; WIN_g!=12.5; WIN_hit_rate=33.3; WIN_capital=124118.0; WIN_n_ops=12; IND_ii=15.70; IND_i!=24.13; IND_i-=0.00; IND_!i=25.00; IND_!!=34.88; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.29; IND_===50.87; IND_gi=-21.2; IND_g!=16.5; IND_hit_rate=28.6; IND_capital=123109.6; IND_n_ops=14; WDO_ii=18.31; WDO_i!=27.62; WDO_i-=0.00; WDO_!i=25.87; WDO_!!=27.91; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.29; WDO_===46.51; WDO_gi=-20.3; WDO_g!=3.8; WDO_hit_rate=27.8; WDO_capital=122201.0; WDO_n_ops=18; DOL_ii=25.58; DOL_i!=25.58; DOL_i-=0.00; DOL_!i=21.51; DOL_!!=27.03; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.29; DOL_===52.91; DOL_gi=0.0; DOL_g!=11.4; DOL_hit_rate=52.6; DOL_capital=124066.2; DOL_n_ops=38; 
day_i=4; avg_capital=122969.30; n_ops=78; WIN_ii=13.65; WIN_i!=23.96; WIN_i-=0.56; WIN_!i=26.18; WIN_!!=34.54; WIN_!-=0.28; WIN_-i=0.28; WIN_-!=0.28; WIN_--=0.28; WIN_===48.47; WIN_gi=-27.5; WIN_g!=13.5; WIN_hit_rate=14.3; WIN_capital=122296.0; WIN_n_ops=14; IND_ii=17.83; IND_i!=24.51; IND_i-=0.00; IND_!i=25.91; IND_!!=31.48; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===49.58; IND_gi=-15.8; IND_g!=9.7; IND_hit_rate=53.6; IND_capital=124469.2; IND_n_ops=28; WDO_ii=17.27; WDO_i!=26.74; WDO_i-=0.00; WDO_!i=26.46; WDO_!!=29.25; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===46.80; WDO_gi=-21.5; WDO_g!=5.0; WDO_hit_rate=40.0; WDO_capital=124917.5; WDO_n_ops=15; DOL_ii=18.11; DOL_i!=22.56; DOL_i-=0.00; DOL_!i=25.91; DOL_!!=33.15; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===51.53; DOL_gi=-11.0; DOL_g!=12.3; DOL_hit_rate=33.3; DOL_capital=120194.5; DOL_n_ops=21; 
day_i=5; avg_capital=124956.12; n_ops=115; WIN_ii=13.65; WIN_i!=19.78; WIN_i-=0.00; WIN_!i=22.56; WIN_!!=43.73; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===57.66; WIN_gi=-18.3; WIN_g!=31.9; WIN_hit_rate=50.0; WIN_capital=126558.0; WIN_n_ops=22; IND_ii=13.37; IND_i!=20.06; IND_i-=0.00; IND_!i=22.84; IND_!!=43.45; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===57.10; IND_gi=-20.0; IND_g!=31.1; IND_hit_rate=36.4; IND_capital=123150.8; IND_n_ops=22; WDO_ii=17.55; WDO_i!=21.17; WDO_i-=0.00; WDO_!i=28.13; WDO_!!=32.87; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===50.70; WDO_gi=-9.4; WDO_g!=7.8; WDO_hit_rate=60.7; WDO_capital=123521.0; WDO_n_ops=28; DOL_ii=24.23; DOL_i!=21.17; DOL_i-=0.00; DOL_!i=22.56; DOL_!!=31.75; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===56.27; DOL_gi=6.7; DOL_g!=16.9; DOL_hit_rate=58.1; DOL_capital=126594.7; DOL_n_ops=43; 
day_i=6; avg_capital=119079.41; n_ops=83; WIN_ii=11.37; WIN_i!=23.32; WIN_i-=0.00; WIN_!i=28.86; WIN_!!=36.15; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.29; WIN_===47.81; WIN_gi=-34.5; WIN_g!=11.2; WIN_hit_rate=16.7; WIN_capital=122968.0; WIN_n_ops=12; IND_ii=15.45; IND_i!=23.32; IND_i-=0.00; IND_!i=24.20; IND_!!=36.73; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.29; IND_===52.48; IND_gi=-20.3; IND_g!=20.6; IND_hit_rate=50.0; IND_capital=123778.0; IND_n_ops=20; WDO_ii=20.41; WDO_i!=25.66; WDO_i-=0.00; WDO_!i=22.16; WDO_!!=31.49; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.29; WDO_===52.19; WDO_gi=-11.4; WDO_g!=17.4; WDO_hit_rate=37.5; WDO_capital=117393.0; WDO_n_ops=24; DOL_ii=20.99; DOL_i!=23.62; DOL_i-=0.00; DOL_!i=23.32; DOL_!!=31.78; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.29; DOL_===53.06; DOL_gi=-5.9; DOL_g!=15.3; DOL_hit_rate=22.2; DOL_capital=112178.6; DOL_n_ops=27; 
day_i=7; avg_capital=123405.65; n_ops=98; WIN_ii=18.82; WIN_i!=23.31; WIN_i-=0.00; WIN_!i=22.47; WIN_!!=35.11; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===54.21; WIN_gi=-10.7; WIN_g!=22.0; WIN_hit_rate=48.1; WIN_capital=124953.0; WIN_n_ops=27; IND_ii=16.29; IND_i!=21.07; IND_i-=0.00; IND_!i=25.84; IND_!!=36.52; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===53.09; IND_gi=-12.8; IND_g!=17.1; IND_hit_rate=36.4; IND_capital=121800.8; IND_n_ops=22; WDO_ii=16.29; WDO_i!=26.12; WDO_i-=0.56; WDO_!i=27.53; WDO_!!=28.65; WDO_!-=0.28; WDO_-i=0.28; WDO_-!=0.00; WDO_--=0.28; WDO_===45.22; WDO_gi=-23.3; WDO_g!=1.8; WDO_hit_rate=33.3; WDO_capital=123234.5; WDO_n_ops=21; DOL_ii=21.91; DOL_i!=24.44; DOL_i-=0.00; DOL_!i=22.75; DOL_!!=30.62; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===52.81; DOL_gi=-5.5; DOL_g!=14.7; DOL_hit_rate=50.0; DOL_capital=123634.3; DOL_n_ops=28; 
day_i=8; avg_capital=122948.00; n_ops=118; WIN_ii=16.71; WIN_i!=22.56; WIN_i-=0.00; WIN_!i=25.07; WIN_!!=35.38; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===52.37; WIN_gi=-14.9; WIN_g!=17.1; WIN_hit_rate=46.9; WIN_capital=121448.0; WIN_n_ops=32; IND_ii=15.32; IND_i!=25.07; IND_i-=0.00; IND_!i=27.02; IND_!!=32.31; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===47.91; IND_gi=-24.1; IND_g!=8.9; IND_hit_rate=41.7; IND_capital=121523.6; IND_n_ops=24; WDO_ii=21.17; WDO_i!=25.91; WDO_i-=0.00; WDO_!i=24.23; WDO_!!=28.41; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===49.86; WDO_gi=-10.1; WDO_g!=7.9; WDO_hit_rate=39.1; WDO_capital=124173.5; WDO_n_ops=23; DOL_ii=20.61; DOL_i!=20.89; DOL_i-=0.00; DOL_!i=23.68; DOL_!!=34.54; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===55.43; DOL_gi=-0.7; DOL_g!=18.7; DOL_hit_rate=48.7; DOL_capital=124646.9; DOL_n_ops=39; 
day_i=9; avg_capital=123464.11; n_ops=68; WIN_ii=16.16; WIN_i!=21.73; WIN_i-=0.00; WIN_!i=24.79; WIN_!!=37.05; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===53.48; WIN_gi=-14.7; WIN_g!=19.8; WIN_hit_rate=26.3; WIN_capital=122941.0; WIN_n_ops=19; IND_ii=14.76; IND_i!=23.68; IND_i-=0.84; IND_!i=25.07; IND_!!=35.38; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===50.42; IND_gi=-23.4; IND_g!=17.1; IND_hit_rate=30.8; IND_capital=123248.2; IND_n_ops=13; WDO_ii=13.09; WDO_i!=22.28; WDO_i-=0.00; WDO_!i=30.08; WDO_!!=34.26; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===47.63; WDO_gi=-26.0; WDO_g!=6.5; WDO_hit_rate=31.6; WDO_capital=125920.5; WDO_n_ops=19; DOL_ii=15.60; DOL_i!=23.40; DOL_i-=0.00; DOL_!i=28.41; DOL_!!=32.31; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===48.19; DOL_gi=-20.0; DOL_g!=6.4; DOL_hit_rate=29.4; DOL_capital=121746.7; DOL_n_ops=17; 
day_i=10; avg_capital=120638.65; n_ops=141; WIN_ii=20.89; WIN_i!=23.96; WIN_i-=0.00; WIN_!i=23.68; WIN_!!=31.20; WIN_!-=0.00; WIN_-i=0.00; WIN_-!=0.00; WIN_--=0.28; WIN_===52.37; WIN_gi=-6.8; WIN_g!=13.7; WIN_hit_rate=52.6; WIN_capital=124882.0; WIN_n_ops=38; IND_ii=18.66; IND_i!=22.56; IND_i-=0.00; IND_!i=27.58; IND_!!=30.92; IND_!-=0.00; IND_-i=0.00; IND_-!=0.00; IND_--=0.28; IND_===49.86; IND_gi=-9.5; IND_g!=5.7; IND_hit_rate=39.5; IND_capital=122583.2; IND_n_ops=38; WDO_ii=16.99; WDO_i!=22.56; WDO_i-=0.00; WDO_!i=27.58; WDO_!!=32.59; WDO_!-=0.00; WDO_-i=0.00; WDO_-!=0.00; WDO_--=0.28; WDO_===49.86; WDO_gi=-14.1; WDO_g!=8.3; WDO_hit_rate=47.1; WDO_capital=124213.0; WDO_n_ops=34; DOL_ii=18.94; DOL_i!=21.45; DOL_i-=0.00; DOL_!i=25.91; DOL_!!=33.43; DOL_!-=0.00; DOL_-i=0.00; DOL_-!=0.00; DOL_--=0.28; DOL_===52.65; DOL_gi=-6.2; DOL_g!=12.7; DOL_hit_rate=25.8; DOL_capital=110876.4; DOL_n_ops=31; 
