image label x y z rx ry rz timestamp
/dados/ufes/20161021/1477073738.645717.bb3.l.ppm 0 7757725.67388 -363565.336041 0.0 0.046535 0.013382 0.662869 1477073738.645717
/dados/ufes/20161021/1477073760.298384.bb3.l.ppm 1 7757749.50755 -363547.085788 0.0 0.058489 -0.02454 0.66497 1477073760.298384
/dados/ufes/20161021/1477073766.421320.bb3.l.ppm 2 7757773.86026 -363528.924603 0.0 0.045821 -0.01026 0.550874 1477073766.421320
/dados/ufes/20161021/1477073773.617253.bb3.l.ppm 3 7757803.32012 -363522.222842 0.0 -0.01245 0.004981 -0.09168 1477073773.617253
/dados/ufes/20161021/1477073780.490664.bb3.l.ppm 4 7757830.74669 -363534.591496 0.0 0.014204 0.00253 -0.686005 1477073780.490664
/dados/ufes/20161021/1477073787.551420.bb3.l.ppm 5 7757853.6173 -363554.532048 0.0 0.015813 0.031245 -0.710754 1477073787.551420
/dados/ufes/20161021/1477073794.280592.bb3.l.ppm 6 7757876.14024 -363574.729964 0.0 0.019237 0.012173 -0.7212 1477073794.280592
/dados/ufes/20161021/1477073800.841839.bb3.l.ppm 7 7757898.79026 -363594.553769 0.0 0.028716 0.021306 -0.730496 1477073800.841839
/dados/ufes/20161021/1477073807.068874.bb3.l.ppm 8 7757921.28802 -363614.649643 0.0 0.030809 0.015005 -0.721225 1477073807.068874
/dados/ufes/20161021/1477073813.647276.bb3.l.ppm 9 7757943.86423 -363634.617007 0.0 0.033838 0.021731 -0.71317 1477073813.647276
/dados/ufes/20161021/1477073820.361474.bb3.l.ppm 10 7757962.70147 -363658.413788 0.0 -0.002342 0.005281 -1.293088 1477073820.361474
/dados/ufes/20161021/1477073827.332991.bb3.l.ppm 11 7757956.22708 -363687.84084 0.0 -0.018796 0.008277 -2.222203 1477073827.332991
/dados/ufes/20161021/1477073834.551925.bb3.l.ppm 12 7757933.33328 -363707.677791 0.0 -0.001971 -0.003946 -2.483352 1477073834.551925
/dados/ufes/20161021/1477073841.410675.bb3.l.ppm 13 7757909.1984 -363725.651089 0.0 0.024257 -0.003358 -2.475322 1477073841.410675
/dados/ufes/20161021/1477073848.716105.bb3.l.ppm 14 7757885.48212 -363744.148033 0.0 0.020242 0.015061 -2.471149 1477073848.716105
/dados/ufes/20161021/1477073855.578027.bb3.l.ppm 15 7757861.50788 -363762.716725 0.0 0.020079 0.021938 -2.474737 1477073855.578027
/dados/ufes/20161021/1477073862.971058.bb3.l.ppm 16 7757837.55799 -363781.292497 0.0 0.004807 0.02366 -2.465792 1477073862.971058
/dados/ufes/20161021/1477073869.779853.bb3.l.ppm 17 7757813.72811 -363799.626782 0.0 0.008477 0.018334 -2.508421 1477073869.779853
/dados/ufes/20161021/1477073876.294737.bb3.l.ppm 18 7757789.77819 -363817.781621 0.0 0.023302 0.021512 -2.487875 1477073876.294737
/dados/ufes/20161021/1477073885.126600.bb3.l.ppm 19 7757765.93053 -363836.002738 0.0 0.025105 0.012805 -2.464927 1477073885.126600
/dados/ufes/20161021/1477073891.610987.bb3.l.ppm 20 7757742.12729 -363854.275599 0.0 0.019196 0.002778 -2.480331 1477073891.610987
/dados/ufes/20161021/1477073900.899625.bb3.l.ppm 21 7757718.30655 -363872.601525 0.0 0.025133 0.086205 -2.474153 1477073900.899625
/dados/ufes/20161021/1477073908.518922.bb3.l.ppm 22 7757694.47226 -363891.137865 0.0 0.021149 -0.006392 -2.477858 1477073908.518922
/dados/ufes/20161021/1477073915.220043.bb3.l.ppm 23 7757670.4441 -363909.614928 0.0 0.020957 0.012499 -2.469759 1477073915.220043
/dados/ufes/20161021/1477073921.929017.bb3.l.ppm 24 7757646.83716 -363928.261724 0.0 0.011647 0.017122 -2.47117 1477073921.929017
/dados/ufes/20161021/1477073928.408089.bb3.l.ppm 25 7757622.46843 -363945.854477 0.0 0.023221 0.008497 -2.526315 1477073928.408089
/dados/ufes/20161021/1477073934.578397.bb3.l.ppm 26 7757598.33326 -363963.745423 0.0 0.022582 0.014271 -2.47926 1477073934.578397
/dados/ufes/20161021/1477073940.706416.bb3.l.ppm 27 7757574.27938 -363982.041215 0.0 0.02712 0.027257 -2.488202 1477073940.706416
/dados/ufes/20161021/1477073947.115676.bb3.l.ppm 28 7757549.36073 -363999.444843 0.0 0.008373 0.004482 -2.585623 1477073947.115676
/dados/ufes/20161021/1477073953.377251.bb3.l.ppm 29 7757523.42576 -364014.987854 0.0 0.0259 0.018927 -2.562115 1477073953.377251
/dados/ufes/20161021/1477073959.543251.bb3.l.ppm 30 7757499.14697 -364032.727331 0.0 0.038359 0.003649 -2.443369 1477073959.543251
/dados/ufes/20161021/1477073965.491566.bb3.l.ppm 31 7757476.29357 -364052.491296 0.0 0.032638 0.007076 -2.453097 1477073965.491566
/dados/ufes/20161021/1477073971.777379.bb3.l.ppm 32 7757451.70957 -364069.705454 0.0 0.018353 0.022101 -2.610074 1477073971.777379
/dados/ufes/20161021/1477073978.039905.bb3.l.ppm 33 7757424.34348 -364082.09431 0.0 0.021869 0.007281 -2.780378 1477073978.039905
/dados/ufes/20161021/1477073984.025330.bb3.l.ppm 34 7757395.68235 -364090.971586 0.0 0.037302 0.005676 -2.871112 1477073984.025330
/dados/ufes/20161021/1477073991.192814.bb3.l.ppm 35 7757366.31871 -364097.210783 0.0 0.046971 0.020555 -2.962118 1477073991.192814
/dados/ufes/20161021/1477074001.748719.bb3.l.ppm 36 7757336.45726 -364101.017896 0.0 0.024122 0.013216 -3.087373 1477074001.748719
/dados/ufes/20161021/1477074003.909628.bb3.l.ppm 37 7757328.30855 -364101.112998 0.0 0.025402 0.013339 3.140571 1477074003.909628
/dados/ufes/20161021/1477074003.991219.bb3.l.ppm 38 7757328.08333 -364101.102422 0.0 0.024575 0.013371 -3.140211 1477074003.991219
/dados/ufes/20161021/1477074004.072845.bb3.l.ppm 39 7757327.79826 -364101.110201 0.0 0.023782 0.01269 3.138849 1477074004.072845
/dados/ufes/20161021/1477074014.192067.bb3.l.ppm 40 7757297.7276 -364098.831998 0.0 0.014511 0.015866 3.032353 1477074014.192067
/dados/ufes/20161021/1477074021.295394.bb3.l.ppm 41 7757267.95646 -364094.782136 0.0 0.027198 0.002177 3.029826 1477074021.295394
/dados/ufes/20161021/1477074028.121653.bb3.l.ppm 42 7757237.98761 -364090.196597 0.0 0.046452 0.008326 2.958721 1477074028.121653
/dados/ufes/20161021/1477074034.097184.bb3.l.ppm 43 7757208.41462 -364083.455508 0.0 0.043967 0.009245 2.899407 1477074034.097184
/dados/ufes/20161021/1477074039.788272.bb3.l.ppm 44 7757179.02309 -364077.010413 0.0 0.052526 0.013201 3.003794 1477074039.788272
/dados/ufes/20161021/1477074045.527096.bb3.l.ppm 45 7757148.98199 -364074.509022 0.0 0.047915 0.020892 3.071291 1477074045.527096
/dados/ufes/20161021/1477074050.713534.bb3.l.ppm 46 7757118.91258 -364071.131519 0.0 0.038419 0.005233 3.024944 1477074050.713534
/dados/ufes/20161021/1477074055.797509.bb3.l.ppm 47 7757088.7898 -364067.518532 0.0 0.031689 0.005654 3.079535 1477074055.797509
/dados/ufes/20161021/1477074060.883397.bb3.l.ppm 48 7757058.63784 -364065.949608 0.0 0.034183 0.018327 3.038126 1477074060.883397
/dados/ufes/20161021/1477074065.996928.bb3.l.ppm 49 7757028.83491 -364062.177453 0.0 0.039292 0.012126 3.025761 1477074065.996928
/dados/ufes/20161021/1477074071.391865.bb3.l.ppm 50 7756999.04225 -364058.387102 0.0 0.043294 0.018982 3.023636 1477074071.391865
/dados/ufes/20161021/1477074076.951619.bb3.l.ppm 51 7756969.19925 -364054.338326 0.0 0.047366 0.019658 3.01538 1477074076.951619
/dados/ufes/20161021/1477074082.716047.bb3.l.ppm 52 7756939.35029 -364050.460657 0.0 0.038893 0.016734 3.028644 1477074082.716047
/dados/ufes/20161021/1477074089.374252.bb3.l.ppm 53 7756909.35756 -364046.471225 0.0 0.012814 0.028661 3.017948 1477074089.374252
/dados/ufes/20161021/1477074099.141796.bb3.l.ppm 54 7756879.27086 -364042.515757 0.0 -0.010617 0.01021 3.014875 1477074099.141796
/dados/ufes/20161021/1477074105.872373.bb3.l.ppm 55 7756849.40099 -364038.277268 0.0 0.038152 0.005363 3.004197 1477074105.872373
/dados/ufes/20161021/1477074115.273762.bb3.l.ppm 56 7756819.64293 -364033.521987 0.0 0.004666 -0.0004 2.952144 1477074115.273762
/dados/ufes/20161021/1477074121.209400.bb3.l.ppm 57 7756790.68002 -364025.340831 0.0 0.034554 0.008842 2.827163 1477074121.209400
/dados/ufes/20161021/1477074131.830171.bb3.l.ppm 58 7756762.26631 -364015.294451 0.0 0.019832 0.010883 2.796161 1477074131.830171
/dados/ufes/20161021/1477074138.172187.bb3.l.ppm 59 7756734.7103 -364003.261948 0.0 0.011979 -0.004698 2.677501 1477074138.172187
/dados/ufes/20161021/1477074143.769243.bb3.l.ppm 60 7756708.41239 -363988.106948 0.0 0.030747 0.011635 2.608483 1477074143.769243
/dados/ufes/20161021/1477074149.519548.bb3.l.ppm 61 7756682.53788 -363972.253779 0.0 0.030697 0.014367 2.592292 1477074149.519548
/dados/ufes/20161021/1477074154.975681.bb3.l.ppm 62 7756656.6913 -363956.307953 0.0 0.03253 0.014841 2.60361 1477074154.975681
/dados/ufes/20161021/1477074160.478969.bb3.l.ppm 63 7756630.79951 -363940.326861 0.0 0.040733 0.023885 2.593364 1477074160.478969
/dados/ufes/20161021/1477074165.676881.bb3.l.ppm 64 7756605.25166 -363924.4571 0.0 0.03312 0.015313 2.593127 1477074165.676881
/dados/ufes/20161021/1477074170.809593.bb3.l.ppm 65 7756579.58797 -363908.525166 0.0 0.029455 0.015456 2.60181 1477074170.809593
/dados/ufes/20161021/1477074176.260656.bb3.l.ppm 66 7756553.96847 -363892.478299 0.0 0.028017 0.028175 2.527436 1477074176.260656
/dados/ufes/20161021/1477074186.715822.bb3.l.ppm 67 7756534.28523 -363869.666076 0.0 0.027096 0.054351 2.032201 1477074186.715822
/dados/ufes/20161021/1477074195.319765.bb3.l.ppm 68 7756527.09406 -363840.48192 0.0 0.028144 -0.010684 1.565228 1477074195.319765
/dados/ufes/20161021/1477074201.349771.bb3.l.ppm 69 7756530.44202 -363810.310815 0.0 0.031723 -0.000522 1.445042 1477074201.349771
/dados/ufes/20161021/1477074207.111474.bb3.l.ppm 70 7756536.70712 -363780.785438 0.0 0.013672 0.003296 1.198274 1477074207.111474
/dados/ufes/20161021/1477074213.504736.bb3.l.ppm 71 7756554.40619 -363756.243562 0.0 -0.005646 0.01087 0.744207 1477074213.504736
/dados/ufes/20161021/1477074219.062738.bb3.l.ppm 72 7756578.31721 -363737.755886 0.0 0.032812 0.017033 0.671404 1477074219.062738
/dados/ufes/20161021/1477074224.547560.bb3.l.ppm 73 7756602.028 -363719.109806 0.0 0.05081 0.020031 0.670266 1477074224.547560
/dados/ufes/20161021/1477074230.019555.bb3.l.ppm 74 7756625.71203 -363700.592799 0.0 0.067363 0.022493 0.672341 1477074230.019555
/dados/ufes/20161021/1477074235.385868.bb3.l.ppm 75 7756649.48785 -363682.086926 0.0 0.072368 0.021472 0.66493 1477074235.385868
/dados/ufes/20161021/1477074240.805918.bb3.l.ppm 76 7756675.09209 -363665.768838 0.0 0.040842 0.006112 0.452853 1477074240.805918
/dados/ufes/20161021/1477074246.110175.bb3.l.ppm 77 7756703.5665 -363656.070344 0.0 0.03124 0.009465 0.200335 1477074246.110175
/dados/ufes/20161021/1477074251.488668.bb3.l.ppm 78 7756733.55663 -363654.419115 0.0 0.033678 0.011755 -0.061327 1477074251.488668
/dados/ufes/20161021/1477074256.788723.bb3.l.ppm 79 7756763.59451 -363657.968557 0.0 0.040196 0.00795 -0.109636 1477074256.788723
/dados/ufes/20161021/1477074262.394554.bb3.l.ppm 80 7756793.75663 -363661.645829 0.0 0.043218 0.008219 -0.117054 1477074262.394554
/dados/ufes/20161021/1477074267.822683.bb3.l.ppm 81 7756823.50733 -363665.555519 0.0 0.042072 0.001762 -0.117005 1477074267.822683
/dados/ufes/20161021/1477074273.245508.bb3.l.ppm 82 7756853.81334 -363669.370992 0.0 0.031023 0.008998 -0.121824 1477074273.245508
/dados/ufes/20161021/1477074278.228873.bb3.l.ppm 83 7756884.00314 -363673.331694 0.0 0.038897 0.012944 -0.123964 1477074278.228873
/dados/ufes/20161021/1477074283.965691.bb3.l.ppm 84 7756914.13716 -363677.187392 0.0 0.044842 0.018913 -0.113258 1477074283.965691
/dados/ufes/20161021/1477074289.477420.bb3.l.ppm 85 7756944.23365 -363680.994752 0.0 0.039553 0.021059 -0.12153 1477074289.477420
/dados/ufes/20161021/1477074295.218904.bb3.l.ppm 86 7756974.10019 -363684.919552 0.0 0.015454 0.022978 -0.124836 1477074295.218904
/dados/ufes/20161021/1477074301.510024.bb3.l.ppm 87 7757004.19195 -363688.676461 0.0 0.030808 0.021284 -0.109315 1477074301.510024
/dados/ufes/20161021/1477074308.222045.bb3.l.ppm 88 7757033.98806 -363692.626748 0.0 0.040252 0.020538 -0.145547 1477074308.222045
/dados/ufes/20161021/1477074317.672272.bb3.l.ppm 89 7757063.73708 -363696.854339 0.0 0.019342 0.018773 -0.146714 1477074317.672272
/dados/ufes/20161021/1477074325.382323.bb3.l.ppm 90 7757092.40195 -363687.876335 0.0 0.064215 0.005858 0.551442 1477074325.382323
/dados/ufes/20161021/1477074334.828000.bb3.l.ppm 91 7757118.4866 -363672.435241 0.0 0.044133 0.023353 0.526906 1477074334.828000
/dados/ufes/20161021/1477074341.628353.bb3.l.ppm 92 7757144.78 -363657.80516 0.0 0.035589 0.011665 0.515433 1477074341.628353
/dados/ufes/20161021/1477074348.607535.bb3.l.ppm 93 7757168.00557 -363638.527694 0.0 0.043638 0.010046 1.102917 1477074348.607535
/dados/ufes/20161021/1477074355.719350.bb3.l.ppm 94 7757180.02727 -363610.942485 0.0 0.045349 0.023376 0.940746 1477074355.719350
/dados/ufes/20161021/1477074361.661605.bb3.l.ppm 95 7757203.92142 -363592.291536 0.0 -0.009873 0.025641 0.567775 1477074361.661605
/dados/ufes/20161021/1477074366.787242.bb3.l.ppm 96 7757229.59387 -363575.712061 0.0 0.00688 0.015404 0.62866 1477074366.787242
/dados/ufes/20161021/1477074374.111179.bb3.l.ppm 97 7757253.34495 -363556.655662 0.0 0.00605 0.023985 0.733203 1477074374.111179
/dados/ufes/20161021/1477074380.436552.bb3.l.ppm 98 7757275.65516 -363536.144353 0.0 0.040949 0.041156 0.760741 1477074380.436552
/dados/ufes/20161021/1477074386.883160.bb3.l.ppm 99 7757297.30368 -363514.69918 0.0 0.064721 0.024212 0.80015 1477074386.883160
/dados/ufes/20161021/1477074393.713929.bb3.l.ppm 100 7757320.1005 -363495.025827 0.0 0.034473 0.018101 0.442671 1477074393.713929
/dados/ufes/20161021/1477074401.455357.bb3.l.ppm 101 7757350.21569 -363496.744365 0.0 -0.055949 -0.005046 -0.306447 1477074401.455357
/dados/ufes/20161021/1477074407.366304.bb3.l.ppm 102 7757377.82263 -363509.169004 0.0 -0.022575 0.006576 -0.56443 1477074407.366304
/dados/ufes/20161021/1477074413.957199.bb3.l.ppm 103 7757400.01155 -363529.742245 0.0 -0.014868 0.007984 -0.888025 1477074413.957199
/dados/ufes/20161021/1477074420.467417.bb3.l.ppm 104 7757418.3815 -363553.536155 0.0 -0.021725 0.01695 -0.916374 1477074420.467417
/dados/ufes/20161021/1477074426.781887.bb3.l.ppm 105 7757436.53638 -363577.474246 0.0 -0.012218 0.020941 -0.907662 1477074426.781887
/dados/ufes/20161021/1477074432.858526.bb3.l.ppm 106 7757454.82577 -363601.509324 0.0 -0.032795 0.012495 -0.920568 1477074432.858526
/dados/ufes/20161021/1477074438.448501.bb3.l.ppm 107 7757472.99617 -363625.435106 0.0 -0.013162 0.00525 -0.894595 1477074438.448501
/dados/ufes/20161021/1477074444.759000.bb3.l.ppm 108 7757494.5334 -363646.447345 0.0 0.00638 0.030756 -0.59127 1477074444.759000
/dados/ufes/20161021/1477074450.931307.bb3.l.ppm 109 7757522.52625 -363657.856115 0.0 0.020601 0.019245 -0.19445 1477074450.931307
/dados/ufes/20161021/1477074457.192117.bb3.l.ppm 110 7757552.51897 -363660.198234 0.0 0.002755 0.002774 0.045457 1477074457.192117
/dados/ufes/20161021/1477074463.776573.bb3.l.ppm 111 7757582.35936 -363656.620629 0.0 -0.006759 0.014317 0.210522 1477074463.776573
/dados/ufes/20161021/1477074470.405476.bb3.l.ppm 112 7757611.40386 -363648.909766 0.0 -0.010032 0.012919 0.358113 1477074470.405476
/dados/ufes/20161021/1477074476.679317.bb3.l.ppm 113 7757637.11722 -363633.235419 0.0 0.070518 0.010091 0.676063 1477074476.679317
/dados/ufes/20161021/1477074483.343045.bb3.l.ppm 114 7757661.02789 -363614.749178 0.0 0.051343 0.028226 0.670025 1477074483.343045
/dados/ufes/20161021/1477074490.256407.bb3.l.ppm 115 7757684.75998 -363596.390294 0.0 0.040851 0.03057 0.661764 1477074490.256407
/dados/ufes/20161021/1477074497.735310.bb3.l.ppm 116 7757708.802 -363578.075918 0.0 0.044005 0.027278 0.656804 1477074497.735310
