image label x y z rx ry rz timestamp
/dados/ufes/20171122/1511378425.497594.bb3.l.ppm 0 7757725.77615 -363565.463335 0.0 0.060994 -0.010938 0.671303 1511378425.497594
/dados/ufes/20171122/1511378431.935174.bb3.l.ppm 1 7757749.41432 -363547.076066 0.0 0.053723 -0.029633 0.667942 1511378431.935174
/dados/ufes/20171122/1511378437.185330.bb3.l.ppm 2 7757773.82808 -363528.721428 0.0 0.042637 -0.025935 0.525198 1511378437.185330
/dados/ufes/20171122/1511378441.997967.bb3.l.ppm 3 7757803.37465 -363522.36079 0.0 -0.031996 -0.026205 -0.100522 1511378441.997967
/dados/ufes/20171122/1511378446.748041.bb3.l.ppm 4 7757830.8254 -363534.572478 0.0 -0.011172 -0.040411 -0.68279 1511378446.748041
/dados/ufes/20171122/1511378451.123168.bb3.l.ppm 5 7757853.45738 -363554.526982 0.0 -0.01221 0.009501 -0.70944 1511378451.123168
/dados/ufes/20171122/1511378455.560734.bb3.l.ppm 6 7757876.04914 -363574.654285 0.0 0.010465 0.025889 -0.721324 1511378455.560734
/dados/ufes/20171122/1511378460.060826.bb3.l.ppm 7 7757898.81892 -363594.531925 0.0 0.008344 0.034074 -0.726776 1511378460.060826
/dados/ufes/20171122/1511378464.498453.bb3.l.ppm 8 7757921.44444 -363614.749362 0.0 0.013589 0.021353 -0.723518 1511378464.498453
/dados/ufes/20171122/1511378468.498516.bb3.l.ppm 9 7757943.82937 -363634.339495 0.0 0.011404 0.010454 -0.699794 1511378468.498516
/dados/ufes/20171122/1511378472.811169.bb3.l.ppm 10 7757962.50003 -363658.397958 0.0 -0.013795 0.013122 -1.290306 1511378472.811169
/dados/ufes/20171122/1511378477.248753.bb3.l.ppm 11 7757955.99073 -363687.56993 0.0 -0.050603 -0.000927 -2.272441 1511378477.248753
/dados/ufes/20171122/1511378481.311314.bb3.l.ppm 12 7757932.80886 -363706.998124 0.0 -0.052791 -0.026168 -2.471276 1511378481.311314
/dados/ufes/20171122/1511378484.998932.bb3.l.ppm 13 7757909.07648 -363725.776787 0.0 -0.008776 -0.033114 -2.466347 1511378484.998932
/dados/ufes/20171122/1511378488.624028.bb3.l.ppm 14 7757885.40553 -363744.114094 0.0 0.008964 -0.0138 -2.474233 1511378488.624028
