NEURON;SYNAPSE;GAUSS-RAD;LOG-FACTOR;VOTE-PARAM;HIT
18x10;8;1;2;2;0.023255814
18x10;8;1;2;2.5;0.023255814
18x10;8;1;2;3;0.023255814
18x10;8;1;4;2;0.023255814
18x10;8;1;4;2.5;0.023255814
18x10;8;1;4;3;0.023255814
18x10;8;1;6;2;0.023255814
18x10;8;1;6;2.5;0.023255814
18x10;8;1;6;3;0.023255814
18x10;8;1;8;2;0.023255814
18x10;8;1;8;2.5;0.023255814
18x10;8;1;8;3;0.023255814
18x10;8;1;10;2;0.023255814
18x10;8;1;10;2.5;0.023255814
18x10;8;1;10;3;0.023255814
18x10;8;3;2;2;0.023255814
18x10;8;3;2;2.5;0.023255814
18x10;8;3;2;3;0.023255814
18x10;8;3;4;2;0.023255814
18x10;8;3;4;2.5;0.023255814
18x10;8;3;4;3;0.023255814
18x10;8;3;6;2;0.023255814
18x10;8;3;6;2.5;0.023255814
18x10;8;3;6;3;0.023255814
18x10;8;3;8;2;0.023255814
18x10;8;3;8;2.5;0.023255814
18x10;8;3;8;3;0.023255814
18x10;8;3;10;2;0.023255814
18x10;8;3;10;2.5;0.023255814
18x10;8;3;10;3;0.023255814
18x10;8;5;2;2;0.023255814
18x10;8;5;2;2.5;0.023255814
18x10;8;5;2;3;0.023255814
18x10;8;5;4;2;0.023255814
18x10;8;5;4;2.5;0.023255814
18x10;8;5;4;3;0.023255814
18x10;8;5;6;2;0.023255814
18x10;8;5;6;2.5;0.023255814
18x10;8;5;6;3;0.023255814
18x10;8;5;8;2;0.023255814
18x10;8;5;8;2.5;0.023255814
18x10;8;5;8;3;0.023255814
18x10;8;5;10;2;0.023255814
18x10;8;5;10;2.5;0.023255814
18x10;8;5;10;3;0.023255814
18x10;8;7;2;2;0.023255814
18x10;8;7;2;2.5;0.023255814
18x10;8;7;2;3;0.023255814
18x10;8;7;4;2;0.023255814
18x10;8;7;4;2.5;0.023255814
18x10;8;7;4;3;0.023255814
18x10;8;7;6;2;0.023255814
18x10;8;7;6;2.5;0.023255814
18x10;8;7;6;3;0.023255814
18x10;8;7;8;2;0.023255814
18x10;8;7;8;2.5;0.023255814
18x10;8;7;8;3;0.023255814
18x10;8;7;10;2;0.023255814
18x10;8;7;10;2.5;0.023255814
18x10;8;7;10;3;0.023255814
18x10;8;9;2;2;0.023255814
18x10;8;9;2;2.5;0.023255814
18x10;8;9;2;3;0.023255814
18x10;8;9;4;2;0.023255814
18x10;8;9;4;2.5;0.023255814
18x10;8;9;4;3;0.023255814
18x10;8;9;6;2;0.023255814
18x10;8;9;6;2.5;0.023255814
18x10;8;9;6;3;0.023255814
18x10;8;9;8;2;0.023255814
18x10;8;9;8;2.5;0.023255814
18x10;8;9;8;3;0.023255814
18x10;8;9;10;2;0.023255814
18x10;8;9;10;2.5;0.023255814
18x10;8;9;10;3;0.023255814
18x10;16;1;2;2;0.023255814
18x10;16;1;2;2.5;0.023255814
18x10;16;1;2;3;0.023255814
18x10;16;1;4;2;0.023255814
18x10;16;1;4;2.5;0.023255814
18x10;16;1;4;3;0.023255814
18x10;16;1;6;2;0.023255814
18x10;16;1;6;2.5;0.023255814
18x10;16;1;6;3;0.023255814
18x10;16;1;8;2;0.023255814
18x10;16;1;8;2.5;0.023255814
18x10;16;1;8;3;0.023255814
18x10;16;1;10;2;0.0255813953
18x10;16;1;10;2.5;0.023255814
18x10;16;1;10;3;0.023255814
18x10;16;3;2;2;0.0744186047
18x10;16;3;2;2.5;0.076744186
18x10;16;3;2;3;0.0720930233
18x10;16;3;4;2;0.0744186047
18x10;16;3;4;2.5;0.0604651163
18x10;16;3;4;3;0.0720930233
18x10;16;3;6;2;0.0860465116
18x10;16;3;6;2.5;0.0813953488
18x10;16;3;6;3;0.0837209302
18x10;16;3;8;2;0.0906976744
18x10;16;3;8;2.5;0.0860465116
18x10;16;3;8;3;0.0906976744
18x10;16;3;10;2;0.0860465116
18x10;16;3;10;2.5;0.0860465116
18x10;16;3;10;3;0.0906976744
18x10;16;5;2;2;0.2558139535
18x10;16;5;2;2.5;0.2488372093
18x10;16;5;2;3;0.2488372093
18x10;16;5;4;2;0.3046511628
18x10;16;5;4;2.5;0.2837209302
18x10;16;5;4;3;0.288372093
18x10;16;5;6;2;0.3604651163
18x10;16;5;6;2.5;0.3627906977
18x10;16;5;6;3;0.3651162791
18x10;16;5;8;2;0.3604651163
18x10;16;5;8;2.5;0.3558139535
18x10;16;5;8;3;0.3558139535
18x10;16;5;10;2;0.3813953488
18x10;16;5;10;2.5;0.3697674419
18x10;16;5;10;3;0.3651162791
18x10;16;7;2;2;0.3325581395
18x10;16;7;2;2.5;0.3418604651
18x10;16;7;2;3;0.3325581395
18x10;16;7;4;2;0.4186046512
18x10;16;7;4;2.5;0.4302325581
18x10;16;7;4;3;0.4325581395
18x10;16;7;6;2;0.476744186
18x10;16;7;6;2.5;0.4697674419
18x10;16;7;6;3;0.4720930233
18x10;16;7;8;2;0.4813953488
18x10;16;7;8;2.5;0.4906976744
18x10;16;7;8;3;0.4976744186
18x10;16;7;10;2;0.5255813953
18x10;16;7;10;2.5;0.5162790698
18x10;16;7;10;3;0.4906976744
18x10;16;9;2;2;0.311627907
18x10;16;9;2;2.5;0.3
18x10;16;9;2;3;0.3069767442
18x10;16;9;4;2;0.4046511628
18x10;16;9;4;2.5;0.3953488372
18x10;16;9;4;3;0.411627907
18x10;16;9;6;2;0.4534883721
18x10;16;9;6;2.5;0.4488372093
18x10;16;9;6;3;0.4372093023
18x10;16;9;8;2;0.4651162791
18x10;16;9;8;2.5;0.4837209302
18x10;16;9;8;3;0.4720930233
18x10;16;9;10;2;0.4930232558
18x10;16;9;10;2.5;0.4930232558
18x10;16;9;10;3;0.4837209302
18x10;32;1;2;2;0.0255813953
18x10;32;1;2;2.5;0.0255813953
18x10;32;1;2;3;0.0255813953
18x10;32;1;4;2;0.0279069767
18x10;32;1;4;2.5;0.0279069767
18x10;32;1;4;3;0.0279069767
18x10;32;1;6;2;0.0279069767
18x10;32;1;6;2.5;0.0279069767
18x10;32;1;6;3;0.0279069767
18x10;32;1;8;2;0.0325581395
18x10;32;1;8;2.5;0.0302325581
18x10;32;1;8;3;0.0302325581
18x10;32;1;10;2;0.0325581395
18x10;32;1;10;2.5;0.0302325581
18x10;32;1;10;3;0.0302325581
18x10;32;3;2;2;0.4046511628
18x10;32;3;2;2.5;0.4162790698
18x10;32;3;2;3;0.4069767442
18x10;32;3;4;2;0.4418604651
18x10;32;3;4;2.5;0.4418604651
18x10;32;3;4;3;0.4558139535
18x10;32;3;6;2;0.4744186047
18x10;32;3;6;2.5;0.4697674419
18x10;32;3;6;3;0.4651162791
18x10;32;3;8;2;0.4976744186
18x10;32;3;8;2.5;0.4953488372
18x10;32;3;8;3;0.4930232558
18x10;32;3;10;2;0.4930232558
18x10;32;3;10;2.5;0.4953488372
18x10;32;3;10;3;0.4744186047
18x10;32;5;2;2;0.6720930233
18x10;32;5;2;2.5;0.6860465116
18x10;32;5;2;3;0.6697674419
18x10;32;5;4;2;0.7139534884
18x10;32;5;4;2.5;0.7186046512
18x10;32;5;4;3;0.7279069767
18x10;32;5;6;2;0.723255814
18x10;32;5;6;2.5;0.723255814
18x10;32;5;6;3;0.7348837209
18x10;32;5;8;2;0.7186046512
18x10;32;5;8;2.5;0.7348837209
18x10;32;5;8;3;0.7046511628
18x10;32;5;10;2;0.7441860465
18x10;32;5;10;2.5;0.7302325581
18x10;32;5;10;3;0.7395348837
18x10;32;7;2;2;0.723255814
18x10;32;7;2;2.5;0.7302325581
18x10;32;7;2;3;0.7302325581
18x10;32;7;4;2;0.7534883721
18x10;32;7;4;2.5;0.7348837209
18x10;32;7;4;3;0.7488372093
18x10;32;7;6;2;0.7627906977
18x10;32;7;6;2.5;0.7581395349
18x10;32;7;6;3;0.7395348837
18x10;32;7;8;2;0.7720930233
18x10;32;7;8;2.5;0.7674418605
18x10;32;7;8;3;0.7651162791
18x10;32;7;10;2;0.7651162791
18x10;32;7;10;2.5;0.7837209302
18x10;32;7;10;3;0.776744186
18x10;32;9;2;2;0.7046511628
18x10;32;9;2;2.5;0.7046511628
18x10;32;9;2;3;0.7069767442
18x10;32;9;4;2;0.7418604651
18x10;32;9;4;2.5;0.7372093023
18x10;32;9;4;3;0.7395348837
18x10;32;9;6;2;0.7627906977
18x10;32;9;6;2.5;0.7697674419
18x10;32;9;6;3;0.7697674419
18x10;32;9;8;2;0.7906976744
18x10;32;9;8;2.5;0.7651162791
18x10;32;9;8;3;0.7860465116
18x10;32;9;10;2;0.7813953488
18x10;32;9;10;2.5;0.7930232558
