TELB4  2010-12-30 7129999872.000000
PETR4  2010-12-30 29000000.000000
VALE5  2010-12-30 12000000.000000
PETR3  2010-12-30 8581000.000000
ITSA4  2010-12-30 7806000.000000
TCSL4  2010-12-30 6408000.000000
EMBR3  2010-12-30 4987000.000000
USIM5  2010-12-30 4607000.000000
ITUB4  2010-12-30 4602000.000000
BBAS3  2010-12-30 4189000.000000
GGBR4  2010-12-30 3586000.000000
BBDC4  2010-12-30 3556000.000000
VALE3  2010-12-30 3486000.000000
CSNA3  2010-12-30 2550000.000000
BRFS3  2010-12-30 2397000.000000
RSID3  2010-12-30 2302000.000000
LAME4  2010-12-30 2251000.000000
POMO4  2010-12-30 2071000.000000
KLBN4  2010-12-30 1948000.000000
BRAP4  2010-12-30 1913000.000000
GOLL4  2010-12-30 1748000.000000
AMBV4  2010-12-30 1743000.000000
TCSL3  2010-12-30 1684000.000000
GOAU4  2010-12-30 1484000.000000
LIGT3  2010-12-30 1236000.000000
CMIG4  2010-12-30 1191000.000000
TAMM4  2010-12-30 1150000.000000
FIBR3  2010-12-30 1072000.000000
BRKM5  2010-12-30 1057000.000000
ELET3  2010-12-30 1032000.000000
ELET6  2010-12-30 960000.000000
PLAS3  2010-12-30 917000.000000
TNLP4  2010-12-30 907000.000000
PSSA3  2010-12-30 779000.000000
RAPT4  2010-12-30 772000.000000
TBLE3  2010-12-30 761000.000000
BRTO4  2010-12-30 754000.000000
CNFB4  2010-12-30 742000.000000
LREN3  2010-12-30 691000.000000
CCRO3  2010-12-30 672000.000000
BBDC3  2010-12-30 668000.000000
NATU3  2010-12-30 615000.000000
VIVO4  2010-12-30 556000.000000
CPFE3  2010-12-30 415000.000000
USIM3  2010-12-30 412000.000000
SBSP3  2010-12-30 356000.000000
PCAR5  2010-12-30 354000.000000
MAGG3  2010-12-30 324000.000000
TNLP3  2010-12-30 241000.000000
WEGE3  2010-12-30 238000.000000
CRUZ3  2010-12-30 219000.000000
GGBR3  2010-12-30 218000.000000
GETI4  2010-12-30 213000.000000
ETER3  2010-12-30 212000.000000
UGPA4  2010-12-30 211000.000000
TMAR5  2010-12-30 209000.000000
TLPP4  2010-12-30 152000.000000
CMIG3  2010-12-30 133000.000000
FFTL4  2010-12-30 130000.000000
CLSC6  2010-12-30 58000.000000
NETC4  2010-12-30 53000.000000
BRTO3  2010-12-30 37000.000000
CGAS5  2010-12-30 21000.000000
BEES3  2010-12-30 10000.000000
PIBB11  2010-12-30 9020.000000
