# x, y, benchmark, calculated

252.000000, 179.000000, 30.000000, 20
164.000000, 337.000000, 33.250000, 36
 96.000000, 262.000000, 31.000000, 29
286.000000, 112.000000, 15.750000, 32
286.000000, 192.000000, 32.500000, 31
342.000000, 172.000000, 35.000000, 35
 65.000000, 246.000000, 32.250000, 32
 21.000000, 314.000000, 35.250000, 2
 54.000000, 192.000000, 33.000000, 35
254.000000, 206.000000, 30.750000, 26
273.000000, 195.000000, 31.750000, 49
236.000000, 185.000000, 31.000000, 32
250.000000, 158.000000, 16.000000, 33
 34.000000, 331.000000, 36.000000, 34
 92.000000, 237.000000, 31.750000, 28
272.000000, 182.000000, 32.250000, 44
146.000000, 338.000000, 33.500000, 35
270.000000, 134.000000, 15.750000, 34
352.000000, 175.000000, 35.250000, 35
252.000000, 192.000000, 31.000000, 33
112.000000, 261.000000, 30.500000, 25
301.000000, 192.000000, 33.000000, -88
 67.000000, 247.000000, 32.000000, 32
292.000000, 117.000000, 15.750000, 32
156.000000, 333.000000, 33.750000, 36
249.000000, 156.000000, 16.000000, 34
340.000000, 164.000000, 34.500000, 34
 14.000000, 313.000000, 35.750000, -11
268.000000, 189.000000, 31.750000, 43
 48.000000, 192.000000, 33.250000, 40
 93.000000, 240.000000, 31.750000, 28
255.000000, 180.000000, 30.250000, 18

