# x, y, benchmark, calculated

116.000000, 160.000000,  5.000000, 10
228.000000, 128.000000, 14.000000, 15
 84.000000,	 23.000000,  5.000000, 6
130.000000, 196.000000, 10.000000, 12
158.000000, 161.000000, 10.000000, 11
134.000000, 155.000000, 10.000000, 11
141.000000, 163.000000, 10.000000, 11
129.000000, 170.000000, 10.000000, 11
149.000000, 197.000000, 11.000000, 12
225.000000, 143.000000, 14.000000, 15
110.000000, 147.000000,  6.000000, 8
131.000000, 156.000000, 10.000000, 11
137.000000, 153.000000, 10.000000, 11
128.000000, 189.000000, 10.000000, 12
236.000000, 123.000000, 14.000000, 15
141.000000, 173.000000, 10.000000, 12
229.000000, 118.000000, 14.000000, 15
130.000000, 175.000000, 10.000000, 12
115.000000, 163.000000,  5.000000, 10
160.000000, 156.000000, 11.000000, 11
217.000000, 139.000000, 14.000000, 15
 87.000000,  22.000000,  5.000000, 7
140.000000, 193.000000, 11.000000, 12
122.000000, 167.000000, 10.000000, 11
224.000000, 135.000000, 14.000000, 15
140.000000, 166.000000, 10.000000, 11
109.000000, 145.000000,  6.000000, 8
146.000000, 182.000000, 10.000000, 12
132.000000, 197.000000, 10.000000, 12
122.000000, 181.000000, 10.000000, 11
109.000000, 160.000000,  6.000000, 9
237.000000, 123.000000, 14.000000, 15
