# x, y, benchmark, calculated

 44.000000, 352.000000, 17.625000, 18
194.000000, 146.000000,  5.750000, 7
 27.000000,  77.000000,  4.250000, 6
405.000000, 132.000000,  7.625000, 9
368.000000, 101.000000,  7.000000, 8
 68.000000, 166.000000,  9.750000, 10
337.000000, 202.000000, 12.500000, 13
118.000000, 163.000000,  8.500000, 8
 39.000000, 335.000000, 17.000000, 18
213.000000, 160.000000,  6.125000, 7
201.000000, 132.000000,  5.750000, 7
 48.000000, 342.000000, 17.125000, 18
383.000000, 143.000000,  7.500000, 9
 37.000000, 351.000000, 17.625000, 18
 54.000000,  81.000000,  4.125000, 6
186.000000, 127.000000,  3.500000, 6
380.000000,  96.000000,  7.000000, 8
189.000000, 155.000000,  5.750000, 7
 21.000000,  87.000000,  4.250000, 6
 46.000000, 359.000000, 17.750000, 18
381.000000, 129.000000,  7.375000, 9
 77.000000, 166.000000,  9.500000, 10
205.000000, 146.000000,  5.875000, 7
331.000000, 214.000000, 12.625000, 14
 33.000000, 339.000000, 17.250000, 18
116.000000, 157.000000,  8.375000, 7
365.000000,  93.000000,  6.875000, 8
 39.000000,  78.000000,  4.125000, 6
397.000000, 144.000000,  7.625000, 9
187.000000, 129.000000,  3.500000, 6
 43.000000, 345.000000, 17.250000, 18
 70.000000, 167.000000,  9.750000, 9
