# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00113.ppm
delta = 201
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00114.ppm
scale_factor = 0.50; image = 00121; x =   94; y = 270; confidence = 0.71; MISS
scale_factor = 0.50; image = 00121; x =  439; y = 180; confidence = 0.73; MISS
scale_factor = 0.50; image = 00121; x =  438; y = 188; confidence = 0.69; MISS
scale_factor = 0.50; image = 00121; x =  809; y = 194; confidence = 0.35; MISS
scale_factor = 0.50; image = 00121; x = 1010; y = 184; confidence = 0.47; MISS
scale_factor = 0.50; image = 00114; x = 1193; y = 338; confidence = 0.89; HIT ***
scale_factor = 0.50; image = 00121; x =   98; y = 271; confidence = 0.72; MISS
scale_factor = 0.50; image = 00121; x =  421; y = 401; confidence = 0.47; MISS
scale_factor = 0.50; image = 00121; x =  488; y = 255; confidence = 0.60; MISS
scale_factor = 0.50; image = 00121; x =  927; y = 273; confidence = 0.23; MISS
scale_factor = 0.50; image = 00114; x = 1186; y = 347; confidence = 0.79; HIT ***
scale_factor = 0.50; image = 00114; x = 1199; y = 351; confidence = 0.87; HIT ***
scale_factor = 0.50; image = 00121; x =   72; y = 582; confidence = 0.66; MISS
scale_factor = 0.50; image = 00121; x =  231; y = 590; confidence = 0.19; MISS
scale_factor = 0.50; image = 00121; x =  640; y = 418; confidence = 0.00; MISS
scale_factor = 0.50; image = 00121; x =  793; y = 422; confidence = 0.13; MISS
scale_factor = 0.50; image = 00121; x = 1094; y = 456; confidence = 0.12; MISS
scale_factor = 0.50; image = 00121; x = 1135; y = 494; confidence = 0.19; MISS
### Current Image = 00114; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 0.886085; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00134.ppm
scale_factor = 0.50; image = 00146; x =  214; y = 212; confidence = 0.53; MISS
scale_factor = 0.50; image = 00146; x =  401; y = 200; confidence = 0.49; MISS
scale_factor = 0.50; image = 00146; x =  612; y = 238; confidence = 0.49; MISS
scale_factor = 0.50; image = 00146; x =  975; y = 224; confidence = 0.55; MISS
scale_factor = 0.50; image = 00146; x =  976; y = 220; confidence = 0.75; MISS
scale_factor = 0.50; image = 00146; x = 1239; y = 334; confidence = 0.59; MISS
scale_factor = 0.50; image = 00146; x =  140; y = 395; confidence = 0.50; MISS
scale_factor = 0.50; image = 00146; x =  431; y = 485; confidence = 0.49; MISS
scale_factor = 0.50; image = 00146; x =  586; y = 423; confidence = 0.32; MISS
scale_factor = 0.50; image = 00146; x =  803; y = 401; confidence = 0.02; MISS
