# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 53
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00012.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00027.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00057.ppm
delta = 143
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00065.ppm
scale_factor = 0.70; image = 00073; x =  166; y = 127; confidence = 0.00; MISS
scale_factor = 0.70; image = 00073; x =  291; y = 148; confidence = 0.26; MISS
scale_factor = 0.70; image = 00073; x =  458; y = 263; confidence = 0.48; MISS
scale_factor = 0.70; image = 00073; x =  628; y = 172; confidence = 0.56; MISS
scale_factor = 0.70; image = 00073; x =  764; y = 205; confidence = 0.73; MISS
scale_factor = 0.70; image = 00073; x =  822; y = 173; confidence = 0.63; MISS
scale_factor = 0.70; image = 00073; x =  894; y = 140; confidence = 0.63; MISS
scale_factor = 0.70; image = 00073; x = 1170; y = 156; confidence = 0.50; MISS
scale_factor = 0.70; image = 00073; x = 1292; y = 143; confidence = 0.65; MISS
scale_factor = 0.70; image = 00073; x =  149; y = 296; confidence = 0.11; MISS
scale_factor = 0.70; image = 00073; x =  274; y = 286; confidence = 0.16; MISS
scale_factor = 0.70; image = 00073; x =  444; y = 261; confidence = 0.06; MISS
scale_factor = 0.70; image = 00073; x =  552; y = 239; confidence = 0.35; MISS
scale_factor = 0.70; image = 00073; x =  740; y = 237; confidence = 0.76; MISS
scale_factor = 0.70; image = 00073; x =  874; y = 302; confidence = 0.53; MISS
scale_factor = 0.70; image = 00073; x =  976; y = 302; confidence = 0.31; MISS
scale_factor = 0.70; image = 00073; x = 1221; y = 256; confidence = 0.77; MISS
scale_factor = 0.70; image = 00073; x = 1218; y = 247; confidence = 0.70; MISS
scale_factor = 0.70; image = 00073; x =  145; y = 420; confidence = 0.17; MISS
scale_factor = 0.70; image = 00073; x =  305; y = 380; confidence = 0.14; MISS
scale_factor = 0.70; image = 00073; x =  465; y = 422; confidence = 0.43; MISS
scale_factor = 0.70; image = 00073; x =  575; y = 400; confidence = 0.39; MISS
scale_factor = 0.70; image = 00073; x =  728; y = 344; confidence = 0.01; MISS
scale_factor = 0.70; image = 00073; x =  856; y = 454; confidence = 0.01; MISS
scale_factor = 0.70; image = 00065; x = 1016; y = 407; confidence = 0.57; HIT ***
scale_factor = 0.70; image = 00073; x = 1141; y = 426; confidence = 0.13; MISS
scale_factor = 0.70; image = 00073; x = 1247; y = 419; confidence = 0.67; MISS
scale_factor = 0.70; image = 00073; x =   83; y = 567; confidence = 0.48; MISS
scale_factor = 0.70; image = 00073; x =  289; y = 587; confidence = 0.00; MISS
scale_factor = 0.70; image = 00073; x =  429; y = 577; confidence = 0.03; MISS
scale_factor = 0.70; image = 00073; x =  567; y = 578; confidence = 0.21; MISS
scale_factor = 0.70; image = 00073; x =  700; y = 574; confidence = 0.35; MISS
scale_factor = 0.70; image = 00073; x =  791; y = 651; confidence = 0.22; MISS
scale_factor = 0.70; image = 00073; x =  896; y = 595; confidence = 0.00; MISS
scale_factor = 0.70; image = 00073; x = 1081; y = 681; confidence = 0.12; MISS
scale_factor = 0.70; image = 00073; x = 1285; y = 443; confidence = 0.00; MISS
scale_factor = 0.70; image = 00073; x =  213; y = 728; confidence = 0.55; MISS
scale_factor = 0.70; image = 00073; x =  201; y = 734; confidence = 0.20; MISS
scale_factor = 0.70; image = 00073; x =  429; y = 715; confidence = 0.11; MISS
scale_factor = 0.70; image = 00073; x =  567; y = 765; confidence = 0.23; MISS
scale_factor = 0.70; image = 00073; x =  709; y = 760; confidence = 0.01; MISS
scale_factor = 0.70; image = 00073; x =  861; y = 724; confidence = 0.06; MISS
scale_factor = 0.70; image = 00073; x =  951; y = 737; confidence = 0.00; MISS
scale_factor = 0.70; image = 00073; x = 1141; y = 742; confidence = 0.20; MISS
scale_factor = 0.70; image = 00073; x = 1274; y = 752; confidence = 0.31; MISS
### Current Image = 00065; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 0.565249; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00075.ppm
scale_factor = 0.70; image = 00082; x =  176; y = 166; confidence = 0.32; MISS
scale_factor = 0.70; image = 00082; x =  296; y = 146; confidence = 0.56; MISS
scale_factor = 0.70; image = 00082; x =  489; y = 233; confidence = 0.59; MISS
scale_factor = 0.70; image = 00082; x =  631; y = 104; confidence = 0.44; MISS
scale_factor = 0.70; image = 00082; x =  715; y = 143; confidence = 0.22; MISS
scale_factor = 0.70; image = 00082; x =  776; y = 195; confidence = 0.58; MISS
scale_factor = 0.70; image = 00082; x =  984; y = 199; confidence = 0.24; MISS
scale_factor = 0.70; image = 00082; x = 1141; y = 153; confidence = 0.41; MISS
scale_factor = 0.70; image = 00082; x = 1287; y = 156; confidence = 0.34; MISS
scale_factor = 0.70; image = 00082; x =  128; y = 257; confidence = 0.38; MISS
scale_factor = 0.70; image = 00082; x =  283; y = 293; confidence = 0.12; MISS
scale_factor = 0.70; image = 00082; x =  414; y = 326; confidence = 0.47; MISS
scale_factor = 0.70; image = 00082; x =  506; y = 256; confidence = 0.58; MISS
scale_factor = 0.70; image = 00082; x =  672; y = 291; confidence = 0.40; MISS
scale_factor = 0.70; image = 00082; x =  783; y = 190; confidence = 0.27; MISS
scale_factor = 0.70; image = 00082; x = 1044; y = 336; confidence = 0.35; MISS
scale_factor = 0.70; image = 00075; x = 1161; y = 372; confidence = 0.97; HIT ***
scale_factor = 0.70; image = 00082; x = 1247; y = 339; confidence = 0.33; MISS
scale_factor = 0.70; image = 00082; x =  173; y = 439; confidence = 0.42; MISS
scale_factor = 0.70; image = 00082; x =  316; y = 362; confidence = 0.38; MISS
scale_factor = 0.70; image = 00082; x =  423; y = 424; confidence = 0.37; MISS
scale_factor = 0.70; image = 00082; x =  457; y = 429; confidence = 0.08; MISS
scale_factor = 0.70; image = 00082; x =  740; y = 451; confidence = 0.07; MISS
scale_factor = 0.70; image = 00082; x =  885; y = 502; confidence = 0.51; MISS
scale_factor = 0.70; image = 00082; x = 1028; y = 441; confidence = 0.32; MISS
scale_factor = 0.70; image = 00075; x = 1156; y = 369; confidence = 1.00; HIT ***
scale_factor = 0.70; image = 00075; x = 1165; y = 374; confidence = 0.89; HIT ***
scale_factor = 0.70; image = 00082; x =  131; y = 579; confidence = 0.39; MISS
scale_factor = 0.70; image = 00082; x =  281; y = 567; confidence = 0.27; MISS
scale_factor = 0.70; image = 00082; x =  359; y = 642; confidence = 0.34; MISS
scale_factor = 0.70; image = 00082; x =  525; y = 493; confidence = 0.28; MISS
scale_factor = 0.70; image = 00082; x =  710; y = 523; confidence = 0.36; MISS
scale_factor = 0.70; image = 00082; x =  871; y = 594; confidence = 0.08; MISS
scale_factor = 0.70; image = 00082; x = 1028; y = 582; confidence = 0.42; MISS
scale_factor = 0.70; image = 00082; x = 1166; y = 557; confidence = 0.00; MISS
scale_factor = 0.70; image = 00082; x = 1275; y = 602; confidence = 0.46; MISS
scale_factor = 0.70; image = 00082; x =  179; y = 751; confidence = 0.34; MISS
scale_factor = 0.70; image = 00082; x =  286; y = 715; confidence = 0.25; MISS
scale_factor = 0.70; image = 00082; x =  323; y = 734; confidence = 0.28; MISS
scale_factor = 0.70; image = 00082; x =  553; y = 800; confidence = 0.00; MISS
scale_factor = 0.70; image = 00082; x =  822; y = 635; confidence = 0.02; MISS
scale_factor = 0.70; image = 00082; x =  851; y = 717; confidence = 0.31; MISS
scale_factor = 0.70; image = 00082; x = 1001; y = 717; confidence = 0.06; MISS
