p = 0.923600; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.956100; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.948600; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 867; y = 283
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.956100; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.952000; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.944500; confidence = 0.770000; image = 5; scale_factor = 0.979780; x = 180; y = 268
p = 0.944500; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 184; y = 260
p = 0.977300; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 0.977300; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.944500; confidence = 0.750000; image = 5; scale_factor = 0.979780; x = 186; y = 260
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.927800; confidence = 0.680000; image = 9; scale_factor = 0.816480; x = 332; y = 273
p = 0.927800; confidence = 0.620000; image = 9; scale_factor = 0.816480; x = 331; y = 272
p = 0.958100; confidence = 0.860000; image = 9; scale_factor = 0.979780; x = 325; y = 268
p = 0.943300; confidence = 0.870000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.977300; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.943300; confidence = 0.890000; image = 9; scale_factor = 0.979780; x = 826; y = 274
p = 0.936900; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 329; y = 270
p = 0.920900; confidence = 0.810000; image = 9; scale_factor = 1.175730; x = 829; y = 271
p = 0.939300; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 261
p = 0.943300; confidence = 0.820000; image = 11; scale_factor = 0.979780; x = 854; y = 295
p = 0.939300; confidence = 0.780000; image = 11; scale_factor = 0.979780; x = 857; y = 297
p = 0.953500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 495; y = 237
p = 0.928500; confidence = 0.920000; image = 13; scale_factor = 0.979780; x = 1146; y = 220
p = 0.928500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 1149; y = 216
p = 0.928500; confidence = 0.930000; image = 13; scale_factor = 0.979780; x = 1148; y = 219
p = 0.932000; confidence = 0.920000; image = 23; scale_factor = 0.472500; x = 1005; y = 395
p = 0.948900; confidence = 0.950000; image = 23; scale_factor = 0.567000; x = 1001; y = 398
p = 0.948900; confidence = 0.940000; image = 23; scale_factor = 0.567000; x = 1006; y = 398
p = 0.948900; confidence = 0.970000; image = 23; scale_factor = 0.567000; x = 1007; y = 395
p = 0.948900; confidence = 0.950000; image = 23; scale_factor = 0.567000; x = 1004; y = 397
p = 0.957600; confidence = 0.960000; image = 26; scale_factor = 0.816480; x = 876; y = 376
p = 0.949900; confidence = 0.910000; image = 26; scale_factor = 0.979780; x = 879; y = 373
p = 0.943300; confidence = 0.880000; image = 31; scale_factor = 0.979780; x = 816; y = 304
p = 0.934800; confidence = 0.850000; image = 57; scale_factor = 0.816480; x = 1008; y = 380
p = 0.934800; confidence = 0.840000; image = 57; scale_factor = 0.816480; x = 1009; y = 384
p = 0.934800; confidence = 0.870000; image = 57; scale_factor = 0.816480; x = 1008; y = 384
p = 0.968900; confidence = 0.960000; image = 57; scale_factor = 0.979780; x = 1009; y = 381
p = 0.923300; confidence = 0.890000; image = 57; scale_factor = 0.979780; x = 1005; y = 385
p = 0.923300; confidence = 0.860000; image = 57; scale_factor = 0.979780; x = 1004; y = 386
p = 0.934800; confidence = 0.870000; image = 59; scale_factor = 0.816480; x = 1010; y = 348
p = 0.923300; confidence = 0.860000; image = 59; scale_factor = 0.979780; x = 1017; y = 346
p = 0.930200; confidence = 0.740000; image = 60; scale_factor = 0.816480; x = 958; y = 356
p = 0.930200; confidence = 0.730000; image = 60; scale_factor = 0.816480; x = 961; y = 360
