p = 0.722200; confidence = 0.830000; image = 300; scale_factor = 1.410880; x = 791; y = 369
p = 0.722200; confidence = 0.810000; image = 300; scale_factor = 1.410880; x = 790; y = 367
p = 0.722200; confidence = 0.810000; image = 300; scale_factor = 1.410880; x = 792; y = 368
p = 0.707300; confidence = 0.740000; image = 300; scale_factor = 1.693050; x = 791; y = 368
p = 0.722200; confidence = 0.800000; image = 301; scale_factor = 0.567000; x = 1101; y = 462
p = 0.722200; confidence = 0.800000; image = 301; scale_factor = 0.567000; x = 1101; y = 462
p = 0.707300; confidence = 0.730000; image = 301; scale_factor = 0.680400; x = 1107; y = 466
p = 0.707300; confidence = 0.730000; image = 303; scale_factor = 0.979780; x = 1202; y = 399
p = 0.722200; confidence = 0.820000; image = 303; scale_factor = 1.175730; x = 1202; y = 398
p = 0.707300; confidence = 0.750000; image = 303; scale_factor = 1.175730; x = 1205; y = 399
p = 0.707300; confidence = 0.770000; image = 303; scale_factor = 1.175730; x = 1203; y = 401
p = 0.870700; confidence = 0.900000; image = 309; scale_factor = 0.680400; x = 1182; y = 421
p = 0.707300; confidence = 0.760000; image = 309; scale_factor = 0.680400; x = 1192; y = 420
p = 0.722200; confidence = 0.850000; image = 309; scale_factor = 0.680400; x = 1188; y = 421
p = 0.722200; confidence = 0.810000; image = 309; scale_factor = 0.816480; x = 200; y = 394
p = 0.707300; confidence = 0.730000; image = 309; scale_factor = 0.816480; x = 199; y = 391
p = 0.722200; confidence = 0.860000; image = 309; scale_factor = 0.816480; x = 1176; y = 420
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 1186; y = 419
p = 0.707300; confidence = 0.780000; image = 309; scale_factor = 0.816480; x = 204; y = 390
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 199; y = 389
p = 0.722200; confidence = 0.860000; image = 309; scale_factor = 0.816480; x = 1184; y = 418
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 1181; y = 419
p = 0.707300; confidence = 0.730000; image = 311; scale_factor = 0.979780; x = 633; y = 362
p = 0.707300; confidence = 0.740000; image = 311; scale_factor = 0.979780; x = 633; y = 357
p = 0.707300; confidence = 0.740000; image = 311; scale_factor = 0.979780; x = 1314; y = 388
p = 0.722200; confidence = 0.800000; image = 311; scale_factor = 0.979780; x = 634; y = 364
p = 0.722200; confidence = 0.820000; image = 311; scale_factor = 0.979780; x = 633; y = 361
p = 0.707300; confidence = 0.730000; image = 311; scale_factor = 0.979780; x = 1313; y = 396
p = 0.707300; confidence = 0.760000; image = 311; scale_factor = 1.175730; x = 638; y = 354
p = 0.707300; confidence = 0.760000; image = 311; scale_factor = 1.175730; x = 637; y = 357
p = 0.707300; confidence = 0.730000; image = 311; scale_factor = 1.175730; x = 1310; y = 385
p = 0.707300; confidence = 0.720000; image = 311; scale_factor = 1.175730; x = 629; y = 367
p = 0.707300; confidence = 0.720000; image = 311; scale_factor = 1.175730; x = 1308; y = 397
p = 0.707300; confidence = 0.780000; image = 312; scale_factor = 0.273440; x = 188; y = 483
p = 0.722200; confidence = 0.840000; image = 312; scale_factor = 0.273440; x = 177; y = 473
p = 0.707300; confidence = 0.780000; image = 312; scale_factor = 0.328120; x = 184; y = 463
p = 0.707300; confidence = 0.730000; image = 314; scale_factor = 0.816480; x = 1225; y = 380
