p = 0.956100; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.956100; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.952000; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.977300; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 0.977300; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.958100; confidence = 0.860000; image = 9; scale_factor = 0.979780; x = 325; y = 268
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.977300; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.953500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 495; y = 237
p = 0.957600; confidence = 0.960000; image = 26; scale_factor = 0.816480; x = 876; y = 376
p = 0.968900; confidence = 0.960000; image = 57; scale_factor = 0.979780; x = 1009; y = 381
p = 0.963000; confidence = 0.920000; image = 86; scale_factor = 0.979780; x = 393; y = 340
p = 0.973800; confidence = 0.920000; image = 93; scale_factor = 0.816480; x = 1002; y = 395
p = 0.960200; confidence = 0.900000; image = 101; scale_factor = 0.680400; x = 1067; y = 377
p = 0.957600; confidence = 0.920000; image = 107; scale_factor = 0.816480; x = 925; y = 398
p = 0.957500; confidence = 0.910000; image = 130; scale_factor = 0.680400; x = 492; y = 333
p = 0.957500; confidence = 0.920000; image = 130; scale_factor = 0.680400; x = 491; y = 335
p = 0.957500; confidence = 0.900000; image = 130; scale_factor = 0.680400; x = 491; y = 333
p = 0.964800; confidence = 0.800000; image = 130; scale_factor = 0.979780; x = 1070; y = 267
p = 0.962200; confidence = 0.740000; image = 130; scale_factor = 0.979780; x = 1073; y = 267
p = 0.950400; confidence = 0.830000; image = 130; scale_factor = 1.175730; x = 1064; y = 262
p = 0.950400; confidence = 0.870000; image = 130; scale_factor = 1.175730; x = 1073; y = 264
p = 0.980300; confidence = 0.900000; image = 130; scale_factor = 1.175730; x = 1065; y = 266
p = 0.980300; confidence = 0.920000; image = 130; scale_factor = 1.175730; x = 1068; y = 267
p = 0.966800; confidence = 0.900000; image = 133; scale_factor = 0.979780; x = 525; y = 354
p = 0.967900; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 0.967900; confidence = 0.940000; image = 133; scale_factor = 1.175730; x = 950; y = 261
p = 0.967900; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 0.980900; confidence = 0.930000; image = 140; scale_factor = 0.680400; x = 513; y = 267
p = 0.980900; confidence = 0.970000; image = 140; scale_factor = 0.680400; x = 512; y = 263
p = 0.970100; confidence = 0.940000; image = 140; scale_factor = 0.680400; x = 1188; y = 260
p = 0.951900; confidence = 0.800000; image = 140; scale_factor = 0.680400; x = 506; y = 272
p = 0.970100; confidence = 0.950000; image = 140; scale_factor = 0.680400; x = 1189; y = 263
p = 0.968300; confidence = 0.890000; image = 140; scale_factor = 0.816480; x = 514; y = 258
p = 0.965900; confidence = 0.770000; image = 140; scale_factor = 0.816480; x = 517; y = 261
p = 0.968300; confidence = 0.830000; image = 140; scale_factor = 0.816480; x = 516; y = 261
p = 0.956400; confidence = 0.920000; image = 142; scale_factor = 0.979780; x = 980; y = 229
p = 0.956400; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 979; y = 228
p = 0.956400; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 981; y = 229
p = 0.973400; confidence = 0.920000; image = 146; scale_factor = 0.680400; x = 259; y = 308
p = 0.973400; confidence = 0.900000; image = 146; scale_factor = 0.680400; x = 257; y = 310
p = 0.967900; confidence = 0.950000; image = 155; scale_factor = 1.175730; x = 867; y = 265
p = 0.967900; confidence = 0.940000; image = 155; scale_factor = 1.175730; x = 865; y = 265
p = 0.962000; confidence = 0.740000; image = 158; scale_factor = 0.816480; x = 393; y = 241
p = 0.962000; confidence = 0.720000; image = 158; scale_factor = 0.816480; x = 391; y = 269
p = 0.968100; confidence = 0.780000; image = 158; scale_factor = 0.816480; x = 997; y = 263
p = 0.958100; confidence = 0.830000; image = 158; scale_factor = 0.979780; x = 392; y = 241
p = 0.956400; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 231
p = 0.958100; confidence = 0.860000; image = 158; scale_factor = 0.979780; x = 387; y = 266
p = 0.958100; confidence = 0.840000; image = 158; scale_factor = 0.979780; x = 388; y = 269
p = 0.964800; confidence = 0.860000; image = 158; scale_factor = 0.979780; x = 996; y = 261
p = 0.986100; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 262
p = 0.950400; confidence = 0.880000; image = 160; scale_factor = 1.175730; x = 1035; y = 246
p = 0.950400; confidence = 0.830000; image = 160; scale_factor = 1.175730; x = 1039; y = 243
p = 0.953000; confidence = 0.710000; image = 166; scale_factor = 0.816480; x = 270; y = 279
p = 0.952000; confidence = 0.810000; image = 174; scale_factor = 0.816480; x = 945; y = 267
p = 0.977300; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 0.977300; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 0.977300; confidence = 0.970000; image = 174; scale_factor = 0.979780; x = 944; y = 267
p = 0.977300; confidence = 0.960000; image = 174; scale_factor = 0.979780; x = 944; y = 268
p = 0.963000; confidence = 0.990000; image = 246; scale_factor = 0.979780; x = 392; y = 399
p = 0.963000; confidence = 0.940000; image = 271; scale_factor = 0.979780; x = 394; y = 371
p = 0.963000; confidence = 0.960000; image = 271; scale_factor = 0.979780; x = 393; y = 372
p = 0.968900; confidence = 0.940000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 0.968900; confidence = 0.930000; image = 272; scale_factor = 0.979780; x = 955; y = 375
p = 0.960300; confidence = 0.920000; image = 276; scale_factor = 1.410880; x = 478; y = 317
p = 0.953500; confidence = 0.920000; image = 281; scale_factor = 0.979780; x = 495; y = 237
p = 0.953500; confidence = 0.970000; image = 281; scale_factor = 0.979780; x = 497; y = 235
p = 0.952000; confidence = 0.880000; image = 284; scale_factor = 0.816480; x = 872; y = 307
p = 0.977300; confidence = 0.940000; image = 284; scale_factor = 0.979780; x = 871; y = 307
p = 0.977300; confidence = 0.910000; image = 284; scale_factor = 0.979780; x = 870; y = 304
p = 0.980400; confidence = 0.970000; image = 294; scale_factor = 0.816480; x = 1113; y = 250
p = 0.980400; confidence = 0.910000; image = 294; scale_factor = 0.816480; x = 1116; y = 253
p = 0.955000; confidence = 0.770000; image = 294; scale_factor = 0.979780; x = 403; y = 260
p = 0.958100; confidence = 0.800000; image = 294; scale_factor = 0.979780; x = 402; y = 260
p = 0.976400; confidence = 0.920000; image = 294; scale_factor = 1.175730; x = 405; y = 260
p = 0.976400; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 402; y = 259
p = 0.976400; confidence = 0.930000; image = 294; scale_factor = 1.175730; x = 404; y = 259
p = 0.960200; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 991; y = 358
p = 0.960200; confidence = 0.930000; image = 295; scale_factor = 0.680400; x = 988; y = 361
p = 0.960200; confidence = 0.960000; image = 295; scale_factor = 0.680400; x = 994; y = 360
p = 0.953000; confidence = 0.710000; image = 295; scale_factor = 0.816480; x = 212; y = 288
p = 0.953000; confidence = 0.740000; image = 295; scale_factor = 0.816480; x = 220; y = 299
p = 0.953000; confidence = 0.750000; image = 295; scale_factor = 0.816480; x = 222; y = 302
p = 0.952000; confidence = 0.800000; image = 298; scale_factor = 0.816480; x = 832; y = 275
p = 0.958100; confidence = 0.830000; image = 298; scale_factor = 0.979780; x = 341; y = 280
p = 0.955000; confidence = 0.770000; image = 298; scale_factor = 0.979780; x = 344; y = 274
p = 0.958100; confidence = 0.840000; image = 298; scale_factor = 0.979780; x = 340; y = 280
p = 0.958100; confidence = 0.820000; image = 298; scale_factor = 0.979780; x = 341; y = 277
