p = 1.000000; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 1.000000; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 1.000000; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 1.000000; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 1.000000; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 1.000000; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 495; y = 237
p = 1.000000; confidence = 0.920000; image = 13; scale_factor = 0.979780; x = 1146; y = 220
p = 1.000000; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 1149; y = 216
p = 1.000000; confidence = 0.930000; image = 13; scale_factor = 0.979780; x = 1148; y = 219
p = 1.000000; confidence = 0.940000; image = 21; scale_factor = 1.175730; x = 795; y = 342
p = 1.000000; confidence = 0.940000; image = 21; scale_factor = 1.175730; x = 796; y = 342
p = 1.000000; confidence = 0.920000; image = 21; scale_factor = 1.410880; x = 798; y = 341
p = 1.000000; confidence = 0.920000; image = 23; scale_factor = 0.472500; x = 1005; y = 395
p = 1.000000; confidence = 0.950000; image = 23; scale_factor = 0.567000; x = 1001; y = 398
p = 1.000000; confidence = 0.940000; image = 23; scale_factor = 0.567000; x = 1006; y = 398
p = 1.000000; confidence = 0.970000; image = 23; scale_factor = 0.567000; x = 1007; y = 395
p = 1.000000; confidence = 0.950000; image = 23; scale_factor = 0.567000; x = 1004; y = 397
p = 1.000000; confidence = 0.960000; image = 26; scale_factor = 0.816480; x = 876; y = 376
p = 1.000000; confidence = 0.910000; image = 26; scale_factor = 0.979780; x = 879; y = 373
p = 1.000000; confidence = 0.910000; image = 34; scale_factor = 0.680400; x = 548; y = 408
p = 1.000000; confidence = 0.900000; image = 40; scale_factor = 0.393750; x = 1140; y = 409
p = 1.000000; confidence = 0.950000; image = 40; scale_factor = 0.472500; x = 1143; y = 412
p = 1.000000; confidence = 0.920000; image = 40; scale_factor = 0.472500; x = 1147; y = 415
p = 1.000000; confidence = 0.950000; image = 40; scale_factor = 0.472500; x = 1143; y = 409
p = 1.000000; confidence = 0.910000; image = 40; scale_factor = 0.472500; x = 1141; y = 417
p = 1.000000; confidence = 0.920000; image = 45; scale_factor = 0.567000; x = 1060; y = 462
p = 1.000000; confidence = 0.960000; image = 57; scale_factor = 0.979780; x = 1009; y = 381
p = 1.000000; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 383
p = 1.000000; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 383
p = 1.000000; confidence = 0.920000; image = 61; scale_factor = 1.175730; x = 1153; y = 384
p = 1.000000; confidence = 0.910000; image = 61; scale_factor = 1.175730; x = 1154; y = 384
p = 1.000000; confidence = 0.900000; image = 64; scale_factor = 0.979780; x = 864; y = 347
p = 1.000000; confidence = 0.900000; image = 64; scale_factor = 0.979780; x = 865; y = 347
p = 1.000000; confidence = 0.900000; image = 67; scale_factor = 1.410880; x = 754; y = 342
p = 1.000000; confidence = 0.910000; image = 67; scale_factor = 1.410880; x = 752; y = 340
p = 1.000000; confidence = 0.930000; image = 68; scale_factor = 0.393750; x = 1124; y = 499
p = 1.000000; confidence = 0.930000; image = 69; scale_factor = 0.680400; x = 920; y = 377
p = 1.000000; confidence = 0.930000; image = 69; scale_factor = 0.680400; x = 917; y = 379
p = 1.000000; confidence = 0.920000; image = 70; scale_factor = 0.472500; x = 1032; y = 459
p = 1.000000; confidence = 0.930000; image = 70; scale_factor = 0.472500; x = 1030; y = 457
p = 1.000000; confidence = 0.900000; image = 70; scale_factor = 0.472500; x = 1026; y = 466
p = 1.000000; confidence = 0.920000; image = 71; scale_factor = 0.979780; x = 864; y = 384
p = 1.000000; confidence = 0.900000; image = 71; scale_factor = 0.979780; x = 868; y = 388
p = 1.000000; confidence = 0.900000; image = 74; scale_factor = 0.979780; x = 736; y = 411
p = 1.000000; confidence = 0.950000; image = 80; scale_factor = 0.567000; x = 926; y = 378
p = 1.000000; confidence = 0.920000; image = 80; scale_factor = 0.680400; x = 926; y = 376
p = 1.000000; confidence = 0.920000; image = 86; scale_factor = 0.979780; x = 393; y = 340
p = 1.000000; confidence = 0.930000; image = 91; scale_factor = 1.693050; x = 896; y = 295
p = 1.000000; confidence = 0.900000; image = 91; scale_factor = 1.693050; x = 479; y = 298
p = 1.000000; confidence = 0.920000; image = 91; scale_factor = 1.693050; x = 480; y = 298
p = 1.000000; confidence = 0.930000; image = 91; scale_factor = 1.693050; x = 896; y = 295
p = 1.000000; confidence = 0.920000; image = 93; scale_factor = 0.816480; x = 1002; y = 395
p = 1.000000; confidence = 0.920000; image = 98; scale_factor = 1.175730; x = 753; y = 373
p = 1.000000; confidence = 0.970000; image = 98; scale_factor = 1.175730; x = 751; y = 370
p = 1.000000; confidence = 0.920000; image = 98; scale_factor = 1.175730; x = 754; y = 372
p = 1.000000; confidence = 0.940000; image = 99; scale_factor = 1.175730; x = 743; y = 371
p = 1.000000; confidence = 0.900000; image = 101; scale_factor = 0.680400; x = 1067; y = 377
p = 1.000000; confidence = 0.910000; image = 103; scale_factor = 0.816480; x = 1023; y = 417
p = 1.000000; confidence = 0.900000; image = 103; scale_factor = 0.816480; x = 1023; y = 419
p = 1.000000; confidence = 0.920000; image = 107; scale_factor = 0.816480; x = 925; y = 398
p = 1.000000; confidence = 0.900000; image = 107; scale_factor = 0.979780; x = 926; y = 402
p = 1.000000; confidence = 0.910000; image = 112; scale_factor = 0.567000; x = 957; y = 411
p = 1.000000; confidence = 0.920000; image = 116; scale_factor = 0.680400; x = 844; y = 439
p = 1.000000; confidence = 0.920000; image = 116; scale_factor = 0.680400; x = 842; y = 441
p = 1.000000; confidence = 0.950000; image = 117; scale_factor = 1.410880; x = 848; y = 353
p = 1.000000; confidence = 0.920000; image = 117; scale_factor = 1.410880; x = 848; y = 352
p = 1.000000; confidence = 0.920000; image = 119; scale_factor = 0.979780; x = 950; y = 389
p = 1.000000; confidence = 0.910000; image = 130; scale_factor = 0.680400; x = 492; y = 333
p = 1.000000; confidence = 0.920000; image = 130; scale_factor = 0.680400; x = 491; y = 335
p = 1.000000; confidence = 0.900000; image = 130; scale_factor = 0.680400; x = 491; y = 333
p = 1.000000; confidence = 0.900000; image = 130; scale_factor = 1.175730; x = 1065; y = 266
p = 1.000000; confidence = 0.920000; image = 130; scale_factor = 1.175730; x = 1068; y = 267
p = 1.000000; confidence = 0.900000; image = 133; scale_factor = 0.979780; x = 525; y = 354
p = 1.000000; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 1.000000; confidence = 0.940000; image = 133; scale_factor = 1.175730; x = 950; y = 261
p = 1.000000; confidence = 0.930000; image = 133; scale_factor = 1.175730; x = 951; y = 261
p = 1.000000; confidence = 0.930000; image = 140; scale_factor = 0.680400; x = 513; y = 267
p = 1.000000; confidence = 0.970000; image = 140; scale_factor = 0.680400; x = 512; y = 263
p = 1.000000; confidence = 0.940000; image = 140; scale_factor = 0.680400; x = 1188; y = 260
p = 1.000000; confidence = 0.950000; image = 140; scale_factor = 0.680400; x = 1189; y = 263
p = 1.000000; confidence = 0.920000; image = 142; scale_factor = 0.979780; x = 980; y = 229
p = 1.000000; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 979; y = 228
p = 1.000000; confidence = 0.900000; image = 142; scale_factor = 0.979780; x = 981; y = 229
p = 1.000000; confidence = 0.920000; image = 146; scale_factor = 0.680400; x = 259; y = 308
p = 1.000000; confidence = 0.900000; image = 146; scale_factor = 0.680400; x = 257; y = 310
p = 1.000000; confidence = 0.930000; image = 149; scale_factor = 0.680400; x = 322; y = 226
p = 1.000000; confidence = 0.950000; image = 149; scale_factor = 0.680400; x = 323; y = 224
p = 1.000000; confidence = 0.900000; image = 149; scale_factor = 0.680400; x = 328; y = 227
p = 1.000000; confidence = 0.950000; image = 155; scale_factor = 1.175730; x = 867; y = 265
p = 1.000000; confidence = 0.940000; image = 155; scale_factor = 1.175730; x = 865; y = 265
p = 1.000000; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 231
p = 1.000000; confidence = 0.900000; image = 158; scale_factor = 0.979780; x = 999; y = 262
p = 1.000000; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 1.000000; confidence = 0.940000; image = 174; scale_factor = 0.979780; x = 947; y = 265
p = 1.000000; confidence = 0.970000; image = 174; scale_factor = 0.979780; x = 944; y = 267
p = 1.000000; confidence = 0.960000; image = 174; scale_factor = 0.979780; x = 944; y = 268
p = 1.000000; confidence = 0.910000; image = 191; scale_factor = 0.393750; x = 1028; y = 353
p = 1.000000; confidence = 0.900000; image = 206; scale_factor = 1.410880; x = 818; y = 379
p = 1.000000; confidence = 0.930000; image = 206; scale_factor = 1.410880; x = 819; y = 381
p = 1.000000; confidence = 0.910000; image = 206; scale_factor = 1.410880; x = 820; y = 379
p = 1.000000; confidence = 0.910000; image = 206; scale_factor = 1.410880; x = 819; y = 379
p = 1.000000; confidence = 0.920000; image = 221; scale_factor = 1.410880; x = 871; y = 344
p = 1.000000; confidence = 0.920000; image = 221; scale_factor = 1.410880; x = 344; y = 345
p = 1.000000; confidence = 0.900000; image = 221; scale_factor = 1.410880; x = 870; y = 347
p = 1.000000; confidence = 0.900000; image = 231; scale_factor = 0.816480; x = 995; y = 410
p = 1.000000; confidence = 0.900000; image = 231; scale_factor = 0.816480; x = 994; y = 411
p = 1.000000; confidence = 0.940000; image = 233; scale_factor = 0.680400; x = 803; y = 445
p = 1.000000; confidence = 0.930000; image = 233; scale_factor = 0.680400; x = 804; y = 446
p = 1.000000; confidence = 0.950000; image = 233; scale_factor = 0.680400; x = 801; y = 448
