00259.ppm;1202;329;1247;374;1
00260.ppm;720;266;784;330;0
00261.ppm;1150;250;1208;311;35
00262.ppm;894;282;953;341;36
00262.ppm;1042;37;1146;139;12
00263.ppm;646;417;666;437;2
00264.ppm;964;412;988;435;4
00264.ppm;965;435;988;458;9
00264.ppm;509;466;531;488;9
00265.ppm;800;426;831;456;24
00265.ppm;783;446;804;464;18
00265.ppm;805;458;827;480;1
00266.ppm;242;450;293;501;18
00267.ppm;834;380;856;402;36
00267.ppm;859;387;886;414;12
00268.ppm;891;396;917;422;2
00269.ppm;966;430;990;454;9
00270.ppm;1238;331;1291;385;41
00270.ppm;243;335;293;386;2
00270.ppm;1237;279;1291;332;2
00271.ppm;259;369;297;408;2
00271.ppm;1090;341;1130;381;2
00272.ppm;1223;315;1297;385;18
00272.ppm;310;398;377;461;18
00273.ppm;1080;286;1145;343;29
00274.ppm;975;395;1011;430;0
00275.ppm;1196;342;1237;384;33
00275.ppm;206;410;238;445;33
00276.ppm;798;346;845;388;29
00276.ppm;109;464;153;517;38
00277.ppm;1048;399;1071;422;16
00278.ppm;922;389;951;419;40
00278.ppm;915;354;955;390;13
00279.ppm;617;484;673;540;38
00280.ppm;1054;392;1083;422;2
00280.ppm;1131;357;1182;408;12
00281.ppm;982;363;1016;393;31
00281.ppm;984;392;1017;425;2
00282.ppm;869;414;901;444;29
00283.ppm;1177;114;1284;219;4
00284.ppm;980;269;1059;347;12
00284.ppm;993;347;1051;404;2
00285.ppm;1091;304;1146;359;14
00286.ppm;1015;360;1044;389;14
00287.ppm;1113;370;1154;411;2
00288.ppm;413;456;436;479;5
00288.ppm;983;438;1006;462;5
00289.ppm;285;401;326;444;6
00289.ppm;1282;379;1326;424;6
00290.ppm;1294;391;1326;428;5
00291.ppm;1129;384;1165;422;3
00292.ppm;982;422;1011;451;8
00292.ppm;315;447;345;476;8
00293.ppm;28;410;70;456;7
00293.ppm;1143;365;1193;415;7
00294.ppm;101;405;153;453;22
00294.ppm;1173;326;1231;381;22
00295.ppm;1227;364;1272;411;6
00295.ppm;98;417;142;463;6
00296.ppm;460;409;492;442;7
00296.ppm;1237;385;1269;417;7
00297.ppm;1015;444;1042;468;26
00297.ppm;593;443;620;466;26
00298.ppm;1220;168;1327;264;22
00298.ppm;1238;256;1314;331;2
00298.ppm;69;445;107;475;11
00299.ppm;1245;247;1304;306;42
00300.ppm;680;430;710;458;25
00300.ppm;779;420;801;443;2
00301.ppm;1062;260;1131;324;22
00301.ppm;1075;318;1125;368;2
00302.ppm;1123;333;1163;373;42
00303.ppm;1186;385;1215;414;2
00304.ppm;504;385;553;434;35
00305.ppm;765;368;827;422;11
00305.ppm;549;348;597;393;18
00306.ppm;1047;420;1084;455;20
00306.ppm;353;471;389;505;20
00307.ppm;457;474;488;505;17
00307.ppm;795;454;827;487;17
00307.ppm;892;417;934;457;22
00307.ppm;829;453;862;486;38
00309.ppm;180;388;220;431;7
00309.ppm;1159;353;1203;398;7
00310.ppm;285;426;317;459;42
00310.ppm;1150;390;1188;427;42
00311.ppm;616;424;650;458;8
00311.ppm;1295;391;1329;425;8
00312.ppm;122;267;225;379;5
00312.ppm;1226;411;1249;433;22
00312.ppm;677;434;699;453;22
00313.ppm;369;414;424;470;6
00314.ppm;1213;398;1247;434;5
00314.ppm;396;451;429;485;5
00315.ppm;1267;373;1310;419;6
00315.ppm;172;414;213;462;6
00316.ppm;693;413;719;437;20
00316.ppm;696;436;719;458;3
00316.ppm;994;395;1022;420;20
00316.ppm;995;421;1020;445;3
00317.ppm;1122;378;1166;421;32
00318.ppm;631;451;657;477;15
00318.ppm;779;481;800;502;38
00319.ppm;1201;403;1248;450;3
00319.ppm;569;436;612;481;3
00320.ppm;175;438;202;466;32
00320.ppm;921;403;951;434;32
00322.ppm;1166;327;1209;370;5
00322.ppm;338;406;381;449;5
00323.ppm;398;437;425;464;10
00323.ppm;854;438;881;466;10
00330.ppm;1050;313;1116;381;2
00333.ppm;116;414;176;477;14
00333.ppm;753;387;808;445;14
00334.ppm;323;452;369;498;15
00334.ppm;760;435;797;472;2
00337.ppm;901;408;932;438;12
00338.ppm;504;397;538;427;26
00338.ppm;505;425;536;453;2
00338.ppm;998;397;1031;426;26
00338.ppm;1000;426;1029;453;2
00339.ppm;627;442;660;476;1
00339.ppm;969;414;1021;463;12
00340.ppm;827;543;851;567;14
00340.ppm;827;521;852;546;33
