p = 0.650800; confidence = 0.440000; image = 2; scale_factor = 0.816480; x = 457; y = 243
p = 0.650800; confidence = 0.480000; image = 2; scale_factor = 0.816480; x = 454; y = 241
p = 0.942500; confidence = 0.520000; image = 2; scale_factor = 0.979780; x = 457; y = 242
p = 0.942500; confidence = 0.510000; image = 2; scale_factor = 0.979780; x = 457; y = 246
p = 0.810700; confidence = 0.570000; image = 2; scale_factor = 1.175730; x = 462; y = 235
p = 0.923100; confidence = 0.540000; image = 2; scale_factor = 1.175730; x = 463; y = 241
p = 0.673200; confidence = 0.500000; image = 2; scale_factor = 1.410880; x = 462; y = 234
p = 0.673200; confidence = 0.560000; image = 2; scale_factor = 1.410880; x = 464; y = 234
p = 0.709100; confidence = 0.590000; image = 3; scale_factor = 0.472500; x = 386; y = 326
p = 0.754700; confidence = 0.590000; image = 3; scale_factor = 0.567000; x = 388; y = 322
p = 0.462900; confidence = 0.420000; image = 3; scale_factor = 1.175730; x = 330; y = 299
p = 0.312800; confidence = 0.400000; image = 3; scale_factor = 1.175730; x = 416; y = 356
p = 0.514000; confidence = 0.400000; image = 4; scale_factor = 0.979780; x = 1111; y = 299
p = 0.514000; confidence = 0.400000; image = 4; scale_factor = 0.979780; x = 1114; y = 301
p = 0.896800; confidence = 0.550000; image = 5; scale_factor = 0.680400; x = 187; y = 261
p = 0.438100; confidence = 0.450000; image = 5; scale_factor = 0.680400; x = 184; y = 269
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 268
p = 0.961600; confidence = 0.650000; image = 5; scale_factor = 0.816480; x = 187; y = 264
p = 0.987500; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 185; y = 266
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 266
p = 0.542200; confidence = 0.460000; image = 5; scale_factor = 0.816480; x = 871; y = 284
p = 0.951900; confidence = 0.640000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.740000; image = 5; scale_factor = 0.979780; x = 861; y = 277
p = 0.983100; confidence = 0.790000; image = 5; scale_factor = 0.979780; x = 864; y = 281
p = 0.951900; confidence = 0.650000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 863; y = 277
p = 0.948700; confidence = 0.700000; image = 5; scale_factor = 0.979780; x = 865; y = 283
p = 0.423000; confidence = 0.460000; image = 5; scale_factor = 1.175730; x = 192; y = 277
p = 0.931200; confidence = 0.640000; image = 5; scale_factor = 1.175730; x = 864; y = 280
p = 0.884100; confidence = 0.580000; image = 5; scale_factor = 1.175730; x = 866; y = 283
p = 0.884100; confidence = 0.500000; image = 5; scale_factor = 1.175730; x = 857; y = 283
p = 0.943200; confidence = 0.500000; image = 9; scale_factor = 0.816480; x = 324; y = 265
p = 0.598400; confidence = 0.480000; image = 9; scale_factor = 0.816480; x = 326; y = 269
p = 0.929500; confidence = 0.550000; image = 9; scale_factor = 0.816480; x = 824; y = 274
p = 0.943200; confidence = 0.570000; image = 9; scale_factor = 0.816480; x = 321; y = 272
p = 0.943200; confidence = 0.530000; image = 9; scale_factor = 0.816480; x = 327; y = 274
p = 0.542200; confidence = 0.490000; image = 9; scale_factor = 0.816480; x = 823; y = 272
p = 0.986500; confidence = 0.720000; image = 9; scale_factor = 0.979780; x = 326; y = 270
p = 0.948700; confidence = 0.620000; image = 9; scale_factor = 0.979780; x = 827; y = 277
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 328; y = 266
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 323; y = 270
p = 0.948700; confidence = 0.690000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.948700; confidence = 0.680000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 0.944600; confidence = 0.660000; image = 9; scale_factor = 1.175730; x = 327; y = 267
p = 0.981700; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 324; y = 270
p = 0.981700; confidence = 0.780000; image = 9; scale_factor = 1.175730; x = 323; y = 271
p = 0.931200; confidence = 0.680000; image = 9; scale_factor = 1.175730; x = 825; y = 282
p = 0.977100; confidence = 0.720000; image = 9; scale_factor = 1.175730; x = 823; y = 276
p = 0.327700; confidence = 0.430000; image = 9; scale_factor = 1.175730; x = 1042; y = 360
p = 0.317900; confidence = 0.520000; image = 9; scale_factor = 2.031660; x = 1266; y = 346
p = 0.595400; confidence = 0.400000; image = 10; scale_factor = 0.979780; x = 440; y = 252
p = 0.785900; confidence = 0.520000; image = 10; scale_factor = 1.410880; x = 925; y = 241
p = 0.696100; confidence = 0.540000; image = 10; scale_factor = 1.693050; x = 924; y = 240
p = 0.449600; confidence = 0.530000; image = 10; scale_factor = 1.693050; x = 923; y = 239
p = 0.542200; confidence = 0.480000; image = 11; scale_factor = 0.816480; x = 855; y = 293
p = 0.959000; confidence = 0.630000; image = 11; scale_factor = 0.816480; x = 856; y = 291
p = 0.912400; confidence = 0.550000; image = 11; scale_factor = 0.979780; x = 851; y = 260
p = 0.983100; confidence = 0.790000; image = 11; scale_factor = 0.979780; x = 856; y = 294
p = 0.983100; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 293
p = 0.931200; confidence = 0.660000; image = 11; scale_factor = 1.175730; x = 855; y = 293
p = 0.977100; confidence = 0.780000; image = 11; scale_factor = 1.175730; x = 858; y = 294
p = 0.931200; confidence = 0.670000; image = 11; scale_factor = 1.175730; x = 856; y = 290
p = 0.475100; confidence = 0.570000; image = 11; scale_factor = 1.175730; x = 1219; y = 425
p = 0.364100; confidence = 0.520000; image = 11; scale_factor = 1.175730; x = 1277; y = 441
p = 0.976400; confidence = 0.760000; image = 13; scale_factor = 0.816480; x = 499; y = 232
p = 0.881000; confidence = 0.500000; image = 13; scale_factor = 0.816480; x = 501; y = 236
p = 0.323300; confidence = 0.480000; image = 13; scale_factor = 0.816480; x = 1149; y = 214
p = 0.841800; confidence = 0.520000; image = 13; scale_factor = 0.816480; x = 1144; y = 221
p = 0.970300; confidence = 0.740000; image = 13; scale_factor = 0.979780; x = 497; y = 238
p = 0.970300; confidence = 0.750000; image = 13; scale_factor = 0.979780; x = 501; y = 236
p = 0.807800; confidence = 0.590000; image = 13; scale_factor = 0.979780; x = 1153; y = 212
p = 0.807800; confidence = 0.530000; image = 13; scale_factor = 0.979780; x = 1145; y = 228
p = 0.970300; confidence = 0.770000; image = 13; scale_factor = 0.979780; x = 500; y = 237
p = 0.810700; confidence = 0.560000; image = 13; scale_factor = 1.175730; x = 489; y = 231
p = 0.883700; confidence = 0.610000; image = 13; scale_factor = 1.175730; x = 493; y = 227
p = 0.754700; confidence = 0.540000; image = 13; scale_factor = 1.175730; x = 1147; y = 212
p = 0.883700; confidence = 0.640000; image = 13; scale_factor = 1.175730; x = 497; y = 239
p = 0.457400; confidence = 0.400000; image = 14; scale_factor = 0.816480; x = 1060; y = 370
p = 0.457400; confidence = 0.400000; image = 14; scale_factor = 0.816480; x = 1059; y = 374
p = 0.731300; confidence = 0.550000; image = 15; scale_factor = 1.175730; x = 904; y = 213
p = 0.449600; confidence = 0.500000; image = 15; scale_factor = 1.693050; x = 909; y = 208
p = 0.440400; confidence = 0.430000; image = 16; scale_factor = 0.816480; x = 501; y = 382
p = 0.696100; confidence = 0.550000; image = 17; scale_factor = 1.693050; x = 848; y = 309
p = 0.333400; confidence = 0.480000; image = 20; scale_factor = 0.816480; x = 881; y = 355
p = 0.814800; confidence = 0.550000; image = 20; scale_factor = 0.979780; x = 879; y = 360
p = 0.814800; confidence = 0.560000; image = 20; scale_factor = 0.979780; x = 879; y = 359
p = 0.886500; confidence = 0.640000; image = 20; scale_factor = 0.979780; x = 882; y = 361
p = 0.763200; confidence = 0.570000; image = 20; scale_factor = 1.175730; x = 884; y = 359
p = 0.851200; confidence = 0.640000; image = 20; scale_factor = 1.175730; x = 881; y = 359
p = 0.645100; confidence = 0.680000; image = 21; scale_factor = 1.175730; x = 796; y = 344
p = 0.645100; confidence = 0.670000; image = 21; scale_factor = 1.175730; x = 796; y = 341
p = 0.466500; confidence = 0.680000; image = 21; scale_factor = 1.410880; x = 796; y = 345
p = 0.466500; confidence = 0.680000; image = 21; scale_factor = 1.410880; x = 797; y = 344
p = 0.733200; confidence = 0.710000; image = 21; scale_factor = 1.410880; x = 793; y = 343
p = 0.458600; confidence = 0.400000; image = 22; scale_factor = 0.816480; x = 1250; y = 299
p = 0.948000; confidence = 0.730000; image = 23; scale_factor = 0.472500; x = 1000; y = 393
p = 0.852800; confidence = 0.690000; image = 23; scale_factor = 0.472500; x = 1003; y = 395
p = 0.948000; confidence = 0.740000; image = 23; scale_factor = 0.472500; x = 1003; y = 390
p = 0.958300; confidence = 0.710000; image = 23; scale_factor = 0.567000; x = 1005; y = 387
p = 0.958300; confidence = 0.780000; image = 23; scale_factor = 0.567000; x = 1007; y = 389
p = 1.000000; confidence = 0.800000; image = 23; scale_factor = 0.567000; x = 1005; y = 395
p = 0.958300; confidence = 0.790000; image = 23; scale_factor = 0.567000; x = 1004; y = 397
p = 0.852400; confidence = 0.580000; image = 23; scale_factor = 0.680400; x = 1008; y = 379
p = 0.457400; confidence = 0.420000; image = 23; scale_factor = 0.816480; x = 1012; y = 380
p = 0.423000; confidence = 0.430000; image = 23; scale_factor = 1.175730; x = 212; y = 243
p = 0.327700; confidence = 0.400000; image = 23; scale_factor = 1.175730; x = 1012; y = 377
p = 0.317800; confidence = 0.590000; image = 25; scale_factor = 0.393750; x = 1071; y = 401
p = 0.948000; confidence = 0.780000; image = 25; scale_factor = 0.472500; x = 1064; y = 393
p = 0.852800; confidence = 0.650000; image = 25; scale_factor = 0.472500; x = 1075; y = 387
p = 0.879700; confidence = 0.680000; image = 25; scale_factor = 0.567000; x = 1080; y = 394
p = 0.879700; confidence = 0.630000; image = 25; scale_factor = 0.567000; x = 1080; y = 399
p = 0.852400; confidence = 0.560000; image = 25; scale_factor = 0.680400; x = 1058; y = 376
p = 0.968800; confidence = 0.730000; image = 26; scale_factor = 0.816480; x = 881; y = 373
p = 0.968800; confidence = 0.730000; image = 26; scale_factor = 0.816480; x = 880; y = 378
p = 0.908200; confidence = 0.680000; image = 26; scale_factor = 0.816480; x = 874; y = 378
p = 0.960900; confidence = 0.760000; image = 26; scale_factor = 0.979780; x = 873; y = 375
p = 0.960900; confidence = 0.750000; image = 26; scale_factor = 0.979780; x = 877; y = 376
p = 0.886500; confidence = 0.700000; image = 26; scale_factor = 0.979780; x = 875; y = 378
p = 0.763200; confidence = 0.550000; image = 26; scale_factor = 1.175730; x = 882; y = 369
p = 0.763200; confidence = 0.580000; image = 26; scale_factor = 1.175730; x = 881; y = 366
p = 0.308800; confidence = 0.430000; image = 29; scale_factor = 0.979780; x = 1208; y = 398
p = 0.657600; confidence = 0.710000; image = 30; scale_factor = 0.472500; x = 1253; y = 451
p = 0.657600; confidence = 0.750000; image = 30; scale_factor = 0.472500; x = 1257; y = 453
p = 0.708000; confidence = 0.720000; image = 30; scale_factor = 0.567000; x = 1253; y = 450
p = 0.881500; confidence = 0.640000; image = 31; scale_factor = 0.816480; x = 815; y = 307
p = 0.929500; confidence = 0.540000; image = 31; scale_factor = 0.816480; x = 818; y = 312
p = 0.854600; confidence = 0.660000; image = 31; scale_factor = 0.979780; x = 812; y = 300
p = 0.884100; confidence = 0.550000; image = 31; scale_factor = 1.175730; x = 820; y = 310
p = 0.884100; confidence = 0.570000; image = 31; scale_factor = 1.175730; x = 819; y = 300
p = 0.884100; confidence = 0.520000; image = 31; scale_factor = 1.175730; x = 819; y = 308
p = 0.377700; confidence = 0.620000; image = 32; scale_factor = 0.816480; x = 130; y = 389
p = 0.377700; confidence = 0.640000; image = 32; scale_factor = 0.816480; x = 130; y = 390
p = 0.497100; confidence = 0.510000; image = 34; scale_factor = 0.567000; x = 549; y = 399
p = 0.657500; confidence = 0.730000; image = 34; scale_factor = 0.680400; x = 548; y = 408
p = 0.657500; confidence = 0.770000; image = 34; scale_factor = 0.680400; x = 550; y = 402
p = 0.657500; confidence = 0.740000; image = 34; scale_factor = 0.680400; x = 550; y = 410
p = 0.685300; confidence = 0.550000; image = 34; scale_factor = 0.816480; x = 543; y = 402
p = 0.498200; confidence = 0.610000; image = 34; scale_factor = 0.816480; x = 544; y = 414
