# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00094.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00113.ppm
delta = 140
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00114.ppm
scale_factor = 0.50; image = 00121; x =   97; y = 271; confidence = 0.74; MISS
scale_factor = 0.50; image = 00121; x =  433; y = 181; confidence = 0.80; MISS
scale_factor = 0.50; image = 00121; x =  433; y = 181; confidence = 0.80; MISS
scale_factor = 0.50; image = 00121; x =  427; y = 183; confidence = 0.80; MISS
scale_factor = 0.50; image = 00121; x =  583; y = 173; confidence = 0.38; MISS
scale_factor = 0.50; image = 00121; x =  889; y = 209; confidence = 0.37; MISS
scale_factor = 0.50; image = 00121; x = 1011; y = 187; confidence = 0.44; MISS
scale_factor = 0.50; image = 00121; x = 1159; y = 105; confidence = 0.29; MISS
scale_factor = 0.50; image = 00121; x = 1239; y = 139; confidence = 0.24; MISS
scale_factor = 0.50; image = 00121; x =  147; y = 279; confidence = 0.47; MISS
scale_factor = 0.50; image = 00121; x =  357; y = 239; confidence = 0.68; MISS
scale_factor = 0.50; image = 00121; x =  437; y = 179; confidence = 0.75; MISS
scale_factor = 0.50; image = 00121; x =  493; y = 259; confidence = 0.49; MISS
scale_factor = 0.50; image = 00121; x =  653; y = 285; confidence = 0.39; MISS
scale_factor = 0.50; image = 00121; x = 1019; y = 279; confidence = 0.26; MISS
scale_factor = 0.50; image = 00121; x = 1021; y = 299; confidence = 0.11; MISS
scale_factor = 0.50; image = 00114; x = 1205; y = 343; confidence = 0.90; HIT ***
scale_factor = 0.50; image = 00114; x = 1205; y = 341; confidence = 0.90; HIT ***
scale_factor = 0.50; image = 00121; x =  149; y = 381; confidence = 0.57; MISS
scale_factor = 0.50; image = 00121; x =  247; y = 457; confidence = 0.15; MISS
scale_factor = 0.50; image = 00121; x =  439; y = 415; confidence = 0.39; MISS
