# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 57
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00018.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00056.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00071.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00085.ppm
delta = 89
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00089.ppm
scale_factor = 1.12; image = 00093; x =   95; y =  71; confidence = 0.57; MISS
scale_factor = 1.12; image = 00093; x =  182; y = 102; confidence = 0.68; MISS
scale_factor = 1.12; image = 00093; x =  227; y = 101; confidence = 0.40; MISS
scale_factor = 1.12; image = 00093; x =  356; y =  89; confidence = 0.35; MISS
scale_factor = 1.12; image = 00093; x =  445; y =  90; confidence = 0.30; MISS
scale_factor = 1.12; image = 00093; x =  504; y = 125; confidence = 0.38; MISS
scale_factor = 1.12; image = 00093; x =  617; y =  86; confidence = 0.31; MISS
scale_factor = 1.12; image = 00093; x =  711; y = 109; confidence = 0.40; MISS
scale_factor = 1.12; image = 00093; x =  788; y = 103; confidence = 0.43; MISS
scale_factor = 1.12; image = 00093; x =  888; y =  84; confidence = 0.28; MISS
scale_factor = 1.12; image = 00093; x =  997; y =  75; confidence = 0.29; MISS
scale_factor = 1.12; image = 00093; x = 1063; y =  91; confidence = 0.03; MISS
scale_factor = 1.12; image = 00093; x = 1153; y =  97; confidence = 0.17; MISS
scale_factor = 1.12; image = 00093; x = 1265; y =  52; confidence = 0.57; MISS
scale_factor = 1.12; image = 00093; x = 1350; y = 117; confidence = 0.36; MISS
scale_factor = 1.12; image = 00093; x =   94; y = 168; confidence = 0.05; MISS
scale_factor = 1.12; image = 00093; x =  190; y = 106; confidence = 0.58; MISS
scale_factor = 1.12; image = 00093; x =  283; y = 190; confidence = 0.57; MISS
scale_factor = 1.12; image = 00093; x =  430; y = 145; confidence = 0.64; MISS
scale_factor = 1.12; image = 00093; x =  432; y = 147; confidence = 0.62; MISS
scale_factor = 1.12; image = 00093; x =  527; y = 178; confidence = 0.55; MISS
scale_factor = 1.12; image = 00093; x =  594; y = 210; confidence = 0.60; MISS
scale_factor = 1.12; image = 00093; x =  709; y = 162; confidence = 0.13; MISS
scale_factor = 1.12; image = 00093; x =  797; y = 177; confidence = 0.15; MISS
scale_factor = 1.12; image = 00093; x =  893; y = 178; confidence = 0.14; MISS
scale_factor = 1.12; image = 00093; x =  994; y = 159; confidence = 0.25; MISS
scale_factor = 1.12; image = 00093; x = 1064; y = 220; confidence = 0.43; MISS
scale_factor = 1.12; image = 00093; x = 1163; y = 148; confidence = 0.05; MISS
scale_factor = 1.12; image = 00093; x = 1214; y = 177; confidence = 0.35; MISS
scale_factor = 1.12; image = 00093; x = 1339; y = 177; confidence = 0.17; MISS
scale_factor = 1.12; image = 00093; x =   76; y = 258; confidence = 0.33; MISS
scale_factor = 1.12; image = 00093; x =  190; y = 308; confidence = 0.48; MISS
scale_factor = 1.12; image = 00093; x =  249; y = 267; confidence = 0.21; MISS
scale_factor = 1.12; image = 00093; x =  367; y = 268; confidence = 0.02; MISS
scale_factor = 1.12; image = 00093; x =  491; y = 273; confidence = 0.45; MISS
scale_factor = 1.12; image = 00093; x =  573; y = 202; confidence = 0.57; MISS
scale_factor = 1.12; image = 00089; x =  646; y = 337; confidence = 1.00; HIT ***
scale_factor = 1.12; image = 00093; x =  704; y = 266; confidence = 0.34; MISS
scale_factor = 1.12; image = 00093; x =  824; y = 267; confidence = 0.56; MISS
scale_factor = 1.12; image = 00093; x =  823; y = 267; confidence = 0.56; MISS
scale_factor = 1.12; image = 00093; x =  990; y = 247; confidence = 0.49; MISS
scale_factor = 1.12; image = 00089; x = 1040; y = 343; confidence = 0.86; HIT ***
scale_factor = 1.12; image = 00093; x = 1157; y = 267; confidence = 0.15; MISS
scale_factor = 1.12; image = 00093; x = 1251; y = 248; confidence = 0.42; MISS
scale_factor = 1.12; image = 00093; x = 1345; y = 306; confidence = 0.44; MISS
scale_factor = 1.12; image = 00093; x =   83; y = 353; confidence = 0.21; MISS
scale_factor = 1.12; image = 00093; x =  159; y = 356; confidence = 0.33; MISS
scale_factor = 1.12; image = 00093; x =  215; y = 327; confidence = 0.20; MISS
scale_factor = 1.12; image = 00093; x =  352; y = 317; confidence = 0.07; MISS
scale_factor = 1.12; image = 00093; x =  453; y = 283; confidence = 0.29; MISS
scale_factor = 1.12; image = 00093; x =  571; y = 396; confidence = 0.31; MISS
scale_factor = 1.12; image = 00089; x =  642; y = 338; confidence = 0.94; HIT ***
scale_factor = 1.12; image = 00089; x =  644; y = 338; confidence = 0.98; HIT ***
scale_factor = 1.12; image = 00093; x =  826; y = 311; confidence = 0.26; MISS
scale_factor = 1.12; image = 00093; x =  912; y = 305; confidence = 0.27; MISS
scale_factor = 1.12; image = 00089; x = 1039; y = 349; confidence = 0.97; HIT ***
scale_factor = 1.12; image = 00089; x = 1040; y = 349; confidence = 0.96; HIT ***
scale_factor = 1.12; image = 00093; x = 1170; y = 344; confidence = 0.40; MISS
scale_factor = 1.12; image = 00093; x = 1238; y = 359; confidence = 0.47; MISS
scale_factor = 1.12; image = 00093; x = 1323; y = 371; confidence = 0.35; MISS
scale_factor = 1.12; image = 00093; x =  112; y = 483; confidence = 0.27; MISS
scale_factor = 1.12; image = 00093; x =  181; y = 441; confidence = 0.03; MISS
scale_factor = 1.12; image = 00093; x =  217; y = 434; confidence = 0.10; MISS
scale_factor = 1.12; image = 00093; x =  387; y = 481; confidence = 0.26; MISS
scale_factor = 1.12; image = 00093; x =  439; y = 417; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  550; y = 429; confidence = 0.26; MISS
scale_factor = 1.12; image = 00093; x =  662; y = 494; confidence = 0.32; MISS
scale_factor = 1.12; image = 00093; x =  712; y = 445; confidence = 0.22; MISS
scale_factor = 1.12; image = 00093; x =  849; y = 465; confidence = 0.19; MISS
scale_factor = 1.12; image = 00093; x =  878; y = 433; confidence = 0.10; MISS
scale_factor = 1.12; image = 00093; x = 1006; y = 367; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x = 1122; y = 415; confidence = 0.07; MISS
scale_factor = 1.12; image = 00093; x = 1154; y = 481; confidence = 0.08; MISS
scale_factor = 1.12; image = 00093; x = 1267; y = 416; confidence = 0.15; MISS
scale_factor = 1.12; image = 00093; x = 1331; y = 457; confidence = 0.05; MISS
scale_factor = 1.12; image = 00093; x =   70; y = 510; confidence = 0.31; MISS
scale_factor = 1.12; image = 00093; x =  178; y = 534; confidence = 0.14; MISS
scale_factor = 1.12; image = 00093; x =  277; y = 549; confidence = 0.36; MISS
scale_factor = 1.12; image = 00093; x =  344; y = 532; confidence = 0.06; MISS
scale_factor = 1.12; image = 00093; x =  421; y = 566; confidence = 0.15; MISS
scale_factor = 1.12; image = 00093; x =  533; y = 530; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  663; y = 492; confidence = 0.39; MISS
scale_factor = 1.12; image = 00093; x =  666; y = 493; confidence = 0.26; MISS
scale_factor = 1.12; image = 00093; x =  844; y = 463; confidence = 0.09; MISS
scale_factor = 1.12; image = 00093; x =  849; y = 465; confidence = 0.19; MISS
scale_factor = 1.12; image = 00093; x =  996; y = 474; confidence = 0.13; MISS
scale_factor = 1.12; image = 00093; x = 1127; y = 482; confidence = 0.38; MISS
scale_factor = 1.12; image = 00093; x = 1157; y = 538; confidence = 0.23; MISS
scale_factor = 1.12; image = 00093; x = 1243; y = 524; confidence = 0.07; MISS
scale_factor = 1.12; image = 00093; x = 1346; y = 514; confidence = 0.06; MISS
scale_factor = 1.12; image = 00093; x =   95; y = 563; confidence = 0.21; MISS
scale_factor = 1.12; image = 00093; x =  243; y = 571; confidence = 0.33; MISS
scale_factor = 1.12; image = 00093; x =  237; y = 585; confidence = 0.30; MISS
scale_factor = 1.12; image = 00093; x =  304; y = 568; confidence = 0.05; MISS
scale_factor = 1.12; image = 00093; x =  419; y = 570; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  533; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  622; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  711; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  800; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  889; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  978; y = 535; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x = 1141; y = 578; confidence = 0.23; MISS
scale_factor = 1.12; image = 00093; x = 1180; y = 571; confidence = 0.23; MISS
scale_factor = 1.12; image = 00093; x = 1247; y = 627; confidence = 0.27; MISS
scale_factor = 1.12; image = 00093; x = 1313; y = 636; confidence = 0.26; MISS
scale_factor = 1.12; image = 00093; x =   88; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  177; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  266; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  355; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  444; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  533; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  622; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  711; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  800; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  889; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x =  978; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x = 1067; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x = 1156; y = 624; confidence = 0.00; MISS
scale_factor = 1.12; image = 00093; x = 1324; y = 719; confidence = 0.13; MISS
scale_factor = 1.12; image = 00093; x = 1337; y = 703; confidence = 0.38; MISS
### Current Image = 00089; Traffic signs searched =    1; Traffic signs found =    1; Best confidence = 0.972603; Percentage found = 100.00; HIT
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00093.ppm
scale_factor = 1.12; image = 00097; x =   94; y =  89; confidence = 0.38; MISS
scale_factor = 1.12; image = 00097; x =  178; y =  89; confidence = 0.30; MISS
scale_factor = 1.12; image = 00097; x =  294; y =  89; confidence = 0.39; MISS
scale_factor = 1.12; image = 00097; x =  334; y = 110; confidence = 0.41; MISS
scale_factor = 1.12; image = 00097; x =  430; y =  76; confidence = 0.43; MISS
scale_factor = 1.12; image = 00097; x =  535; y =  84; confidence = 0.27; MISS
scale_factor = 1.12; image = 00097; x =  611; y =  73; confidence = 0.37; MISS
scale_factor = 1.12; image = 00097; x =  741; y =  95; confidence = 0.14; MISS
scale_factor = 1.12; image = 00097; x =  854; y = 137; confidence = 0.75; MISS
scale_factor = 1.12; image = 00097; x =  887; y =  77; confidence = 0.47; MISS
scale_factor = 1.12; image = 00097; x =  971; y = 109; confidence = 0.45; MISS
scale_factor = 1.12; image = 00097; x = 1069; y =  89; confidence = 0.20; MISS
scale_factor = 1.12; image = 00097; x = 1139; y = 102; confidence = 0.58; MISS
scale_factor = 1.12; image = 00097; x = 1244; y =  89; confidence = 0.55; MISS
scale_factor = 1.12; image = 00097; x = 1302; y =  50; confidence = 0.53; MISS
scale_factor = 1.12; image = 00097; x =  101; y = 177; confidence = 0.16; MISS
scale_factor = 1.12; image = 00097; x =  203; y = 147; confidence = 0.41; MISS
scale_factor = 1.12; image = 00097; x =  229; y = 189; confidence = 0.14; MISS
scale_factor = 1.12; image = 00097; x =  357; y = 178; confidence = 0.00; MISS
scale_factor = 1.12; image = 00097; x =  449; y = 181; confidence = 0.35; MISS
scale_factor = 1.12; image = 00097; x =  567; y = 185; confidence = 0.36; MISS
scale_factor = 1.12; image = 00097; x =  656; y = 183; confidence = 0.50; MISS
scale_factor = 1.12; image = 00097; x =  700; y = 194; confidence = 0.12; MISS
scale_factor = 1.12; image = 00097; x =  856; y = 137; confidence = 0.76; MISS
scale_factor = 1.12; image = 00097; x =  849; y = 138; confidence = 0.76; MISS
scale_factor = 1.12; image = 00097; x = 1013; y = 170; confidence = 0.46; MISS
scale_factor = 1.12; image = 00097; x = 1083; y = 177; confidence = 0.46; MISS
scale_factor = 1.12; image = 00097; x = 1171; y = 131; confidence = 0.23; MISS
scale_factor = 1.12; image = 00097; x = 1236; y = 200; confidence = 0.10; MISS
scale_factor = 1.12; image = 00097; x = 1332; y = 185; confidence = 0.28; MISS
scale_factor = 1.12; image = 00097; x =   86; y = 264; confidence = 0.26; MISS
scale_factor = 1.12; image = 00097; x =  148; y = 263; confidence = 0.22; MISS
scale_factor = 1.12; image = 00097; x =  231; y = 288; confidence = 0.33; MISS
scale_factor = 1.12; image = 00097; x =  388; y = 246; confidence = 0.41; MISS
scale_factor = 1.12; image = 00097; x =  427; y = 252; confidence = 0.46; MISS
scale_factor = 1.12; image = 00097; x =  541; y = 264; confidence = 0.11; MISS
scale_factor = 1.12; image = 00097; x =  655; y = 301; confidence = 0.41; MISS
