# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 24
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00260.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00023.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00006.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00003.ppm
image = 00003; scale_factor = 0.31250; x =  313; y = 313; confidence = 0.01; MISS
image = 00003; scale_factor = 0.31250; x =  659; y = 217; confidence = 0.26; MISS
image = 00003; scale_factor = 0.31250; x = 1051; y = 249; confidence = 0.40; MISS
image = 00003; scale_factor = 0.31250; x = 1295; y = 285; confidence = 0.16; MISS
image = 00003; scale_factor = 0.31250; x =  348; y = 631; confidence = 0.27; MISS
image = 00003; scale_factor = 0.31250; x =  682; y = 583; confidence = 0.12; MISS
image = 00003; scale_factor = 0.31250; x =  959; y = 638; confidence = 0.07; MISS
image = 00003; scale_factor = 0.31250; x = 1264; y = 755; confidence = 0.51; MISS
image = 00003; scale_factor = 0.48906; x =  204; y = 204; confidence = 0.00; MISS
image = 00003; scale_factor = 0.48906; x =  393; y = 176; confidence = 0.20; MISS
image = 00003; scale_factor = 0.48906; x =  608; y = 204; confidence = 0.17; MISS
image = 00003; scale_factor = 0.48906; x =  791; y = 234; confidence = 0.38; MISS
image = 00003; scale_factor = 0.48906; x =  992; y = 212; confidence = 0.32; MISS
image = 00003; scale_factor = 0.48906; x = 1235; y = 186; confidence = 0.48; MISS
image = 00003; scale_factor = 0.48906; x =  188; y = 407; confidence = 0.04; MISS
image = 00003; scale_factor = 0.48906; x =  409; y = 409; confidence = 0.17; MISS
image = 00003; scale_factor = 0.48906; x =  510; y = 383; confidence = 0.08; MISS
image = 00003; scale_factor = 0.48906; x =  872; y = 456; confidence = 0.33; MISS
image = 00003; scale_factor = 0.48906; x = 1044; y = 468; confidence = 0.31; MISS
image = 00003; scale_factor = 0.48906; x = 1308; y = 266; confidence = 0.41; MISS
image = 00003; scale_factor = 0.48906; x =  236; y = 685; confidence = 0.29; MISS
image = 00003; scale_factor = 0.48906; x =  462; y = 522; confidence = 0.22; MISS
image = 00003; scale_factor = 0.48906; x =  732; y = 642; confidence = 0.51; MISS
image = 00003; scale_factor = 0.48906; x =  819; y = 624; confidence = 0.02; MISS
image = 00003; scale_factor = 0.48906; x = 1040; y = 610; confidence = 0.36; MISS
image = 00003; scale_factor = 0.48906; x = 1245; y = 622; confidence = 0.33; MISS
image = 00003; scale_factor = 0.76538; x =  103; y = 206; confidence = 0.66; MISS
image = 00003; scale_factor = 0.76538; x =  266; y = 131; confidence = 0.24; MISS
image = 00003; scale_factor = 0.76538; x =  329; y = 115; confidence = 0.57; MISS
image = 00003; scale_factor = 0.76538; x =  430; y = 203; confidence = 0.18; MISS
image = 00003; scale_factor = 0.76538; x =  664; y = 195; confidence = 0.49; MISS
image = 00003; scale_factor = 0.76538; x =  857; y = 130; confidence = 0.44; MISS
image = 00003; scale_factor = 0.76538; x =  889; y = 131; confidence = 0.50; MISS
image = 00003; scale_factor = 0.76538; x = 1048; y = 128; confidence = 0.01; MISS
image = 00003; scale_factor = 0.76538; x = 1180; y = 111; confidence = 0.47; MISS
image = 00003; scale_factor = 0.76538; x = 1330; y =   7; confidence = 0.43; MISS
image = 00003; scale_factor = 0.76538; x =  157; y = 203; confidence = 0.47; MISS
image = 00003; scale_factor = 0.76538; x =  275; y = 296; confidence = 0.32; MISS
image = 00003; scale_factor = 0.76538; x =  393; y = 262; confidence = 0.37; MISS
