00301.ppm;1075;318;1125;368;2
00318.ppm;631;451;657;477;15
00334.ppm;323;452;369;498;15
00338.ppm;1000;426;1029;453;2
00343.ppm;802;531;829;558;15
00366.ppm;517;530;540;553;8
00366.ppm;988;550;1014;573;8
00367.ppm;1028;501;1068;541;8
00369.ppm;521;544;542;564;8
00369.ppm;874;532;895;551;8
00369.ppm;875;550;896;571;10
00370.ppm;440;531;467;554;8
00370.ppm;442;553;468;578;10
00378.ppm;23;362;142;480;10
00378.ppm;22;242;145;362;8
00379.ppm;186;458;232;504;8
00380.ppm;551;559;575;583;10
00398.ppm;771;538;795;560;4
00398.ppm;772;558;796;582;10
00403.ppm;568;540;592;564;4
00418.ppm;460;563;482;585;8
00420.ppm;828;542;851;565;3
00420.ppm;361;548;383;570;3
00425.ppm;302;543;342;583;10
00441.ppm;1063;531;1112;580;8
00443.ppm;823;579;843;598;8
00443.ppm;477;578;497;596;8
00501.ppm;943;557;962;577;4
00501.ppm;610;558;628;577;4
00513.ppm;142;501;197;556;7
00523.ppm;1285;512;1330;555;10
00531.ppm;909;431;931;453;10
00544.ppm;744;438;762;458;1
00545.ppm;213;435;247;474;15
00552.ppm;537;512;554;529;8
00552.ppm;814;508;832;526;8
00599.ppm;700;454;722;476;9
