height 800 width 1360
nbins_x 10 nbins_y 10 nbins_z 5 nbins_c  10
p_hit 0.005844
p_miss 0.994156
X 0 0.017045
X 1 0.124053
X 2 0.148674
X 3 0.157197
X 4 0.039773
X 5 0.028409
X 6 0.093750
X 7 0.173295
X 8 0.122159
X 9 0.095644
X 0 0.070440
X 1 0.110979
X 2 0.090849
X 3 0.108357
X 4 0.098303
X 5 0.105323
X 6 0.103391
X 7 0.109142
X 8 0.100703
X 9 0.102512
Y 0 0.000943
Y 1 0.000943
Y 2 0.139623
Y 3 0.510377
Y 4 0.249057
Y 5 0.059434
Y 6 0.028302
Y 7 0.009434
Y 8 0.000943
Y 9 0.000943
Y 0 0.050894
Y 1 0.103347
Y 2 0.101521
Y 3 0.104076
Y 4 0.099489
Y 5 0.108574
Y 6 0.099194
Y 7 0.111475
Y 8 0.098042
Y 9 0.123388
Z 0.312500 0.018939
Z 0.489060 0.113636
Z 0.765380 0.291667
Z 1.197820 0.328598
Z 1.874600 0.247159
Z 0.312500 0.013188
Z 0.489060 0.029255
Z 0.765380 0.097975
Z 1.197820 0.237418
Z 1.874600 0.622164
C 0 0.000944
C 1 0.000944
C 2 0.000944
C 3 0.139754
C 4 0.291785
C 5 0.228517
C 6 0.195467
C 7 0.104816
C 8 0.034939
C 9 0.001889
C 0 0.215005
C 1 0.303733
C 2 0.312741
C 3 0.115789
C 4 0.038619
C 5 0.011290
C 6 0.002344
C 7 0.000356
C 8 0.000111
C 9 0.000011
