image = 00259; scale_factor = 0.76538; x =  655; y = 786; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 0.76538; x =  786; y = 786; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  275; y = 770; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  500; y = 331; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  581; y = 747; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  664; y = 664; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  664; y = 747; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  747; y = 747; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  830; y = 747; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.19782; x =  913; y = 747; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  319; y = 422; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  477; y = 636; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  530; y = 689; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  530; y = 742; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  530; y = 795; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  583; y = 689; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  583; y = 742; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  583; y = 795; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  636; y = 689; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  636; y = 742; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  636; y = 795; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  689; y = 530; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  689; y = 583; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  689; y = 636; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
image = 00259; scale_factor = 1.87460; x =  689; y = 689; confidence = 0.00; T.S. Type = -1; x_g = -001; y_g = -01; width -01; hight -01; MISS
