.wp_visual_search
# Please wait, building network...
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
.wp_visual_search
Locale set to C.
Imagem Treinada = 1
image = 00002; scale_factor =  0.98; confidence =  0.87; x = 165; y = 156; jaccard =  0.92; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00003; scale_factor =  0.97; confidence =  0.88; x = 167; y = 153; jaccard =  0.97; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00004; scale_factor =  0.97; confidence =  0.88; x = 170; y = 152; jaccard =  0.94; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00005; scale_factor =  0.97; confidence =  0.88; x = 174; y = 152; jaccard =  0.94; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00006; scale_factor =  0.97; confidence =  0.87; x = 175; y = 152; jaccard =  0.89; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00007; scale_factor =  0.98; confidence =  0.85; x = 176; y = 152; jaccard =  1.00; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00008; scale_factor =  0.98; confidence =  0.85; x = 176; y = 151; jaccard =  0.97; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00009; scale_factor =  0.98; confidence =  0.87; x = 177; y = 150; jaccard =  1.00; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00010; scale_factor =  0.98; confidence =  0.86; x = 178; y = 150; jaccard =  0.94; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00011; scale_factor =  0.98; confidence =  0.84; x = 180; y = 150; jaccard =  0.84; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00012; scale_factor =  0.98; confidence =  0.82; x = 180; y = 154; jaccard =  0.89; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00013; scale_factor =  0.99; confidence =  0.80; x = 175; y = 157; jaccard =  0.84; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00014; scale_factor =  0.99; confidence =  0.76; x = 171; y = 160; jaccard =  0.84; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00015; scale_factor =  0.99; confidence =  0.73; x = 170; y = 163; jaccard =  0.83; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00016; scale_factor =  0.99; confidence =  0.63; x = 167; y = 193; jaccard =  0.75; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00017; scale_factor =  0.98; confidence =  0.71; x = 165; y = 197; jaccard =  0.84; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00018; scale_factor =  0.98; confidence =  0.69; x = 161; y = 201; jaccard =  0.84; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00019; scale_factor =  0.98; confidence =  0.68; x = 157; y = 204; jaccard =  0.79; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00020; scale_factor =  0.98; confidence =  0.64; x = 150; y = 206; jaccard =  0.72; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00021; scale_factor =  0.99; confidence =  0.60; x = 144; y = 207; jaccard =  0.74; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00022; scale_factor =  0.99; confidence =  0.61; x = 143; y = 207; jaccard =  0.70; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00023; scale_factor =  0.99; confidence =  0.63; x = 143; y = 207; jaccard =  0.74; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00024; scale_factor =  0.99; confidence =  0.62; x = 142; y = 208; jaccard =  0.72; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00025; scale_factor =  0.99; confidence =  0.66; x = 143; y = 208; jaccard =  0.79; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00026; scale_factor =  0.99; confidence =  0.70; x = 154; y = 206; jaccard =  0.75; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00027; scale_factor =  0.99; confidence =  0.69; x = 160; y = 201; jaccard =  0.75; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00028; scale_factor =  1.01; confidence =  0.70; x = 165; y = 194; jaccard =  0.70; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00029; scale_factor =  1.01; confidence =  0.69; x = 171; y = 183; jaccard =  0.83; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00030; scale_factor =  1.02; confidence =  0.69; x = 175; y = 174; jaccard =  0.78; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00031; scale_factor =  1.02; confidence =  0.66; x = 180; y = 151; jaccard =  0.88; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00032; scale_factor =  1.02; confidence =  0.71; x = 180; y = 145; jaccard =  0.83; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00033; scale_factor =  1.06; confidence =  0.53; x = 182; y = 150; jaccard =  0.71; precision =  1.000; recall =  1.000; f =  1.000, HIT
image = 00034; scale_factor =  1.05; confidence =  0.47; x = 179; y = 162; jaccard =  0.73; precision =  1.000; recall =  1.000; f =  1.000, HIT
Imagem Treinada = 32
image = 00035; scale_factor =  1.02; confidence =  0.62; x = -1; y = -1; jaccard =  0.00; precision =  0.971; recall =  0.971; f =  0.971, MISS ***
image = 00035; scale_factor =  1.05; confidence =  0.71; x = 182; y = 183; jaccard =  0.88; precision =  0.971; recall =  0.971; f =  0.971, HIT
image = 00036; scale_factor =  0.95; confidence =  0.77; x = 179; y = 211; jaccard =  0.68; precision =  0.972; recall =  0.972; f =  0.972, HIT
image = 00037; scale_factor =  1.05; confidence =  0.85; x = 179; y = 216; jaccard =  0.85; precision =  0.973; recall =  0.973; f =  0.973, HIT
image = 00038; scale_factor =  1.05; confidence =  0.85; x = 179; y = 219; jaccard =  0.68; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00039; scale_factor =  1.05; confidence =  0.86; x = 178; y = 219; jaccard =  0.66; precision =  0.974; recall =  0.974; f =  0.974, HIT
image = 00040; scale_factor =  1.05; confidence =  0.85; x = 177; y = 216; jaccard =  0.59; precision =  0.975; recall =  0.975; f =  0.975, HIT
image = 00041; scale_factor =  1.04; confidence =  0.70; x = 178; y = 199; jaccard =  0.68; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00042; scale_factor =  1.04; confidence =  0.66; x = 177; y = 183; jaccard =  0.77; precision =  0.976; recall =  0.976; f =  0.976, HIT
image = 00043; scale_factor =  1.03; confidence =  0.70; x = 178; y = 166; jaccard =  0.75; precision =  0.977; recall =  0.977; f =  0.977, HIT
image = 00044; scale_factor =  1.03; confidence =  0.74; x = 178; y = 150; jaccard =  0.80; precision =  0.977; recall =  0.977; f =  0.977, HIT
image = 00045; scale_factor =  1.03; confidence =  0.87; x = 178; y = 147; jaccard =  0.75; precision =  0.978; recall =  0.978; f =  0.978, HIT
image = 00046; scale_factor =  1.01; confidence =  0.83; x = 176; y = 168; jaccard =  0.73; precision =  0.978; recall =  0.978; f =  0.978, HIT
image = 00047; scale_factor =  1.00; confidence =  0.86; x = 175; y = 177; jaccard =  0.74; precision =  0.979; recall =  0.979; f =  0.979, HIT
image = 00048; scale_factor =  1.00; confidence =  0.78; x = 175; y = 180; jaccard =  0.83; precision =  0.979; recall =  0.979; f =  0.979, HIT
image = 00049; scale_factor =  1.00; confidence =  0.78; x = 174; y = 179; jaccard =  0.86; precision =  0.980; recall =  0.980; f =  0.980, HIT
image = 00050; scale_factor =  0.99; confidence =  0.77; x = 173; y = 175; jaccard =  0.89; precision =  0.980; recall =  0.980; f =  0.980, HIT
image = 00051; scale_factor =  1.00; confidence =  0.74; x = 171; y = 158; jaccard =  0.86; precision =  0.980; recall =  0.980; f =  0.980, HIT
image = 00052; scale_factor =  0.99; confidence =  0.62; x = 172; y = 145; jaccard =  0.83; precision =  0.981; recall =  0.981; f =  0.981, HIT
image = 00053; scale_factor =  0.98; confidence =  0.56; x = 172; y = 133; jaccard =  0.84; precision =  0.981; recall =  0.981; f =  0.981, HIT
image = 00054; scale_factor =  0.98; confidence =  0.52; x = 172; y = 117; jaccard =  0.81; precision =  0.981; recall =  0.981; f =  0.981, HIT
image = 00055; scale_factor =  0.96; confidence =  0.74; x = 174; y = 103; jaccard =  0.76; precision =  0.982; recall =  0.982; f =  0.982, HIT
image = 00056; scale_factor =  0.98; confidence =  0.49; x = 173; y = 117; jaccard =  0.83; precision =  0.982; recall =  0.982; f =  0.982, HIT
